REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
R1,MINE_URANIUM,1,2020,2.5
R1,MINE_URANIUM,1,2021,2.5
R1,MINE_URANIUM,1,2022,2.5
R1,MINE_URANIUM,1,2023,2.5
R1,MINE_URANIUM,1,2024,2.5
R1,MINE_URANIUM,1,2025,2.5
R1,MINE_URANIUM,1,2026,2.5
R1,MINE_URANIUM,1,2027,2.5
R1,MINE_URANIUM,1,2028,2.5
R1,MINE_URANIUM,1,2029,2.5
R1,MINE_URANIUM,1,2030,2.5
R1,MINE_URANIUM,1,2031,2.5
R1,MINE_URANIUM,1,2032,2.5
R1,MINE_URANIUM,1,2033,2.5
R1,MINE_URANIUM,1,2034,2.5
R1,MINE_URANIUM,1,2035,2.5
R1,MINE_URANIUM,1,2036,2.5
R1,MINE_URANIUM,1,2037,2.5
R1,MINE_URANIUM,1,2038,2.5
R1,MINE_URANIUM,1,2039,2.5
R1,MINE_URANIUM,1,2040,2.5
R1,MINE_URANIUM,1,2041,2.5
R1,MINE_URANIUM,1,2042,2.5
R1,MINE_URANIUM,1,2043,2.5
R1,MINE_URANIUM,1,2044,2.5
R1,MINE_URANIUM,1,2045,2.5
R1,MINE_URANIUM,1,2046,2.5
R1,MINE_URANIUM,1,2047,2.5
R1,MINE_URANIUM,1,2048,2.5
R1,MINE_URANIUM,1,2049,2.5
R1,MINE_URANIUM,1,2050,2.5
R1,MINE_URANIUM,1,2051,2.5
R1,MINE_URANIUM,1,2052,2.5
R1,MINE_URANIUM,1,2053,2.5
R1,MINE_URANIUM,1,2054,2.5
R1,MINE_URANIUM,1,2055,2.5
R1,MINE_URANIUM,1,2056,2.5
R1,MINE_URANIUM,1,2057,2.5
R1,MINE_URANIUM,1,2058,2.5
R1,MINE_URANIUM,1,2059,2.5
R1,MINE_URANIUM,1,2060,2.5
R1,MINE_URANIUM,1,2061,2.5
R1,MINE_URANIUM,1,2062,2.5
R1,MINE_URANIUM,1,2063,2.5
R1,MINE_URANIUM,1,2064,2.5
R1,MINE_URANIUM,1,2065,2.5
R1,MINE_URANIUM,1,2066,2.5
R1,MINE_URANIUM,1,2067,2.5
R1,MINE_URANIUM,1,2068,2.5
R1,MINE_URANIUM,1,2069,2.5
