REGION,TECHNOLOGY,YEAR,VALUE
"R1","HYDRO",2020,64661.095890411
"R1","HYDRO",2021,66024.9739726027
"R1","HYDRO",2022,67388.4952054794
"R1","HYDRO",2023,68752.3732876712
"R1","HYDRO",2024,70115.8945205479
"R1","HYDRO",2025,71479.7726027397
"R1","HYDRO",2026,72843.6506849315
"R1","HYDRO",2027,74207.1719178082
"R1","HYDRO",2028,75571.05
"R1","HYDRO",2029,76934.5712328767
"R1","HYDRO",2030,78298.4493150685
"R1","HYDRO",2031,79662.3273972602
"R1","HYDRO",2032,81025.8486301369
"R1","HYDRO",2033,82389.7267123287
"R1","HYDRO",2034,83753.2479452055
"R1","HYDRO",2035,85117.1260273972
"R1","HYDRO",2036,86481.004109589
"R1","HYDRO",2037,87844.5253424657
"R1","HYDRO",2038,89208.4034246576
"R1","HYDRO",2039,90571.9246575342
"R1","HYDRO",2040,91935.802739726
"R1","HYDRO",2041,93299.6808219178
"R1","HYDRO",2042,94663.2020547945
"R1","HYDRO",2043,96027.0801369863
"R1","HYDRO",2044,97390.601369863
"R1","HYDRO",2045,98754.4794520548
"R1","HYDRO",2046,100118.357534247
"R1","HYDRO",2047,101481.878767123
"R1","HYDRO",2048,102845.756849315
"R1","HYDRO",2049,104209.278082192
"R1","HYDRO",2050,105573.156164384
"R1","HYDRO",2051,106937.034246575
"R1","HYDRO",2052,108300.555479452
"R1","HYDRO",2053,109664.433561644
"R1","HYDRO",2054,111027.954794521
"R1","HYDRO",2055,112391.832876712
"R1","HYDRO",2056,113755.710958904
"R1","HYDRO",2057,115119.232191781
"R1","HYDRO",2058,116483.110273973
"R1","HYDRO",2059,117846.631506849
"R1","HYDRO",2060,119210.509589041
"R1","HYDRO",2061,120574.387671233
"R1","HYDRO",2062,121937.908904109
"R1","HYDRO",2063,123301.786986301
"R1","HYDRO",2064,124665.308219178
"R1","HYDRO",2065,126029.18630137
"R1","HYDRO",2066,127393.064383562
"R1","HYDRO",2067,128756.585616438
"R1","HYDRO",2068,130120.46369863
"R1","HYDRO",2069,131483.984931507
"R1","HYDRO",2070,132847.863013699
