REGION,TECHNOLOGY,YEAR,VALUE
"R1","TRANSMISSION",2020,18.12
"R1","TRANSMISSION",2021,18.5022
"R1","TRANSMISSION",2022,18.8843
"R1","TRANSMISSION",2023,19.2665
"R1","TRANSMISSION",2024,19.6486
"R1","TRANSMISSION",2025,20.0308
"R1","TRANSMISSION",2026,20.413
"R1","TRANSMISSION",2027,20.7951
"R1","TRANSMISSION",2028,21.1773
"R1","TRANSMISSION",2029,21.5594
"R1","TRANSMISSION",2030,21.9416
"R1","TRANSMISSION",2031,22.3238
"R1","TRANSMISSION",2032,22.7059
"R1","TRANSMISSION",2033,23.0881
"R1","TRANSMISSION",2034,23.4702
"R1","TRANSMISSION",2035,23.8524
"R1","TRANSMISSION",2036,24.2346
"R1","TRANSMISSION",2037,24.6167
"R1","TRANSMISSION",2038,24.9989
"R1","TRANSMISSION",2039,25.381
"R1","TRANSMISSION",2040,25.7632
"R1","TRANSMISSION",2041,26.1454
"R1","TRANSMISSION",2042,26.5275
"R1","TRANSMISSION",2043,26.9097
"R1","TRANSMISSION",2044,27.2918
"R1","TRANSMISSION",2045,27.674
"R1","TRANSMISSION",2046,28.0562
"R1","TRANSMISSION",2047,28.4383
"R1","TRANSMISSION",2048,28.8205
"R1","TRANSMISSION",2049,29.2026
"R1","TRANSMISSION",2050,29.5848
"R1","TRANSMISSION",2051,29.967
"R1","TRANSMISSION",2052,30.3491
"R1","TRANSMISSION",2053,30.7313
"R1","TRANSMISSION",2054,31.1134
"R1","TRANSMISSION",2055,31.4956
"R1","TRANSMISSION",2056,31.8778
"R1","TRANSMISSION",2057,32.2599
"R1","TRANSMISSION",2058,32.6421
"R1","TRANSMISSION",2059,33.0242
"R1","TRANSMISSION",2060,33.4064
"R1","TRANSMISSION",2061,33.7886
"R1","TRANSMISSION",2062,34.1707
"R1","TRANSMISSION",2063,34.5529
"R1","TRANSMISSION",2064,34.935
"R1","TRANSMISSION",2065,35.3172
"R1","TRANSMISSION",2066,35.6994
"R1","TRANSMISSION",2067,36.0815
"R1","TRANSMISSION",2068,36.4637
"R1","TRANSMISSION",2069,36.8458
"R1","TRANSMISSION",2070,37.228
"R1","MINE_WATER",2020,36.24
"R1","MINE_WATER",2021,37.0044
"R1","MINE_WATER",2022,37.7686
"R1","MINE_WATER",2023,38.533
"R1","MINE_WATER",2024,39.2972
"R1","MINE_WATER",2025,40.0616
"R1","MINE_WATER",2026,40.826
"R1","MINE_WATER",2027,41.5902
"R1","MINE_WATER",2028,42.3546
"R1","MINE_WATER",2029,43.1188
"R1","MINE_WATER",2030,43.8832
"R1","MINE_WATER",2031,44.6476
"R1","MINE_WATER",2032,45.4118
"R1","MINE_WATER",2033,46.1762
"R1","MINE_WATER",2034,46.9404
"R1","MINE_WATER",2035,47.7048
"R1","MINE_WATER",2036,48.4692
"R1","MINE_WATER",2037,49.2334
"R1","MINE_WATER",2038,49.9978
"R1","MINE_WATER",2039,50.762
"R1","MINE_WATER",2040,51.5264
"R1","MINE_WATER",2041,52.2908
"R1","MINE_WATER",2042,53.055
"R1","MINE_WATER",2043,53.8194
"R1","MINE_WATER",2044,54.5836
"R1","MINE_WATER",2045,55.348
"R1","MINE_WATER",2046,56.1124
"R1","MINE_WATER",2047,56.8766
"R1","MINE_WATER",2048,57.641
"R1","MINE_WATER",2049,58.4052
"R1","MINE_WATER",2050,59.1696
"R1","MINE_WATER",2051,59.934
"R1","MINE_WATER",2052,60.6982
"R1","MINE_WATER",2053,61.4626
"R1","MINE_WATER",2054,62.2268
"R1","MINE_WATER",2055,62.9912
"R1","MINE_WATER",2056,63.7556
"R1","MINE_WATER",2057,64.5198
"R1","MINE_WATER",2058,65.2842
"R1","MINE_WATER",2059,66.0484
"R1","MINE_WATER",2060,66.8128
"R1","MINE_WATER",2061,67.5772
"R1","MINE_WATER",2062,68.3414
"R1","MINE_WATER",2063,69.1058
"R1","MINE_WATER",2064,69.87
"R1","MINE_WATER",2065,70.6344
"R1","MINE_WATER",2066,71.3988
"R1","MINE_WATER",2067,72.163
"R1","MINE_WATER",2068,72.9274
"R1","MINE_WATER",2069,73.6916
"R1","MINE_WATER",2070,74.456
"R1","HYDRO",2020,18.12
"R1","HYDRO",2021,18.5022
"R1","HYDRO",2022,18.8843
"R1","HYDRO",2023,19.2665
"R1","HYDRO",2024,19.6486
"R1","HYDRO",2025,20.0308
"R1","HYDRO",2026,20.413
"R1","HYDRO",2027,20.7951
"R1","HYDRO",2028,21.1773
"R1","HYDRO",2029,21.5594
"R1","HYDRO",2030,21.9416
"R1","HYDRO",2031,22.3238
"R1","HYDRO",2032,22.7059
"R1","HYDRO",2033,23.0881
"R1","HYDRO",2034,23.4702
"R1","HYDRO",2035,23.8524
"R1","HYDRO",2036,24.2346
"R1","HYDRO",2037,24.6167
"R1","HYDRO",2038,24.9989
