REGION,TIMESLICE,FUEL,YEAR,VALUE
"R1","S1D1","ELC_02",2020,2162.622
"R1","S1D1","ELC_02",2021,2208.23757
"R1","S1D1","ELC_02",2022,2253.841205
"R1","S1D1","ELC_02",2023,2299.456775
"R1","S1D1","ELC_02",2024,2345.06041
"R1","S1D1","ELC_02",2025,2390.67598
"R1","S1D1","ELC_02",2026,2436.29155
"R1","S1D1","ELC_02",2027,2481.895185
"R1","S1D1","ELC_02",2028,2527.510755
"R1","S1D1","ELC_02",2029,2573.11439
"R1","S1D1","ELC_02",2030,2618.72996
"R1","S1D1","ELC_02",2031,2664.34553
"R1","S1D1","ELC_02",2032,2709.949165
"R1","S1D1","ELC_02",2033,2755.564735
"R1","S1D1","ELC_02",2034,2801.16837
"R1","S1D1","ELC_02",2035,2846.78394
"R1","S1D1","ELC_02",2036,2892.39951
"R1","S1D1","ELC_02",2037,2938.003145
"R1","S1D1","ELC_02",2038,2983.618715
"R1","S1D1","ELC_02",2039,3029.22235
"R1","S1D1","ELC_02",2040,3074.83792
"R1","S1D1","ELC_02",2041,3120.45349
"R1","S1D1","ELC_02",2042,3166.057125
"R1","S1D1","ELC_02",2043,3211.672695
"R1","S1D1","ELC_02",2044,3257.27633
"R1","S1D1","ELC_02",2045,3302.8919
"R1","S1D1","ELC_02",2046,3348.50747
"R1","S1D1","ELC_02",2047,3394.111105
"R1","S1D1","ELC_02",2048,3439.726675
"R1","S1D1","ELC_02",2049,3485.33031
"R1","S1D1","ELC_02",2050,3530.94588
"R1","S1D1","ELC_02",2051,3576.56145
"R1","S1D1","ELC_02",2052,3622.165085
"R1","S1D1","ELC_02",2053,3667.780655
"R1","S1D1","ELC_02",2054,3713.38429
"R1","S1D1","ELC_02",2055,3758.99986
"R1","S1D1","ELC_02",2056,3804.61543
"R1","S1D1","ELC_02",2057,3850.219065
"R1","S1D1","ELC_02",2058,3895.834635
"R1","S1D1","ELC_02",2059,3941.43827
"R1","S1D1","ELC_02",2060,3987.05384
"R1","S1D1","ELC_02",2061,4032.66941
"R1","S1D1","ELC_02",2062,4078.273045
"R1","S1D1","ELC_02",2063,4123.888615
"R1","S1D1","ELC_02",2064,4169.49225
"R1","S1D1","ELC_02",2065,4215.10782
"R1","S1D1","ELC_02",2066,4260.72339
"R1","S1D1","ELC_02",2067,4306.327025
"R1","S1D1","ELC_02",2068,4351.942595
"R1","S1D1","ELC_02",2069,4397.54623
"R1","S1D1","ELC_02",2070,4443.1618
"R1","S1D2","ELC_02",2020,2094.672
"R1","S1D2","ELC_02",2021,2138.85432
"R1","S1D2","ELC_02",2022,2183.02508
"R1","S1D2","ELC_02",2023,2227.2074
"R1","S1D2","ELC_02",2024,2271.37816
"R1","S1D2","ELC_02",2025,2315.56048
"R1","S1D2","ELC_02",2026,2359.7428
"R1","S1D2","ELC_02",2027,2403.91356
"R1","S1D2","ELC_02",2028,2448.09588
"R1","S1D2","ELC_02",2029,2492.26664
"R1","S1D2","ELC_02",2030,2536.44896
"R1","S1D2","ELC_02",2031,2580.63128
"R1","S1D2","ELC_02",2032,2624.80204
"R1","S1D2","ELC_02",2033,2668.98436
"R1","S1D2","ELC_02",2034,2713.15512
"R1","S1D2","ELC_02",2035,2757.33744
"R1","S1D2","ELC_02",2036,2801.51976
"R1","S1D2","ELC_02",2037,2845.69052
"R1","S1D2","ELC_02",2038,2889.87284
"R1","S1D2","ELC_02",2039,2934.0436
"R1","S1D2","ELC_02",2040,2978.22592
"R1","S1D2","ELC_02",2041,3022.40824
"R1","S1D2","ELC_02",2042,3066.579
"R1","S1D2","ELC_02",2043,3110.76132
"R1","S1D2","ELC_02",2044,3154.93208
"R1","S1D2","ELC_02",2045,3199.1144
"R1","S1D2","ELC_02",2046,3243.29672
"R1","S1D2","ELC_02",2047,3287.46748
"R1","S1D2","ELC_02",2048,3331.6498
"R1","S1D2","ELC_02",2049,3375.82056
"R1","S1D2","ELC_02",2050,3420.00288
"R1","S1D2","ELC_02",2051,3464.1852
"R1","S1D2","ELC_02",2052,3508.35596
"R1","S1D2","ELC_02",2053,3552.53828
"R1","S1D2","ELC_02",2054,3596.70904
"R1","S1D2","ELC_02",2055,3640.89136
"R1","S1D2","ELC_02",2056,3685.07368
"R1","S1D2","ELC_02",2057,3729.24444
"R1","S1D2","ELC_02",2058,3773.42676
"R1","S1D2","ELC_02",2059,3817.59752
"R1","S1D2","ELC_02",2060,3861.77984
"R1","S1D2","ELC_02",2061,3905.96216
"R1","S1D2","ELC_02",2062,3950.13292
"R1","S1D2","ELC_02",2063,3994.31524
"R1","S1D2","ELC_02",2064,4038.486
"R1","S1D2","ELC_02",2065,4082.66832
"R1","S1D2","ELC_02",2066,4126.85064
"R1","S1D2","ELC_02",2067,4171.0214
"R1","S1D2","ELC_02",2068,4215.20372
"R1","S1D2","ELC_02",2069,4259.37448
"R1","S1D2","ELC_02",2070,4303.5568
"R1","S2D1","ELC_02",2020,2184.9096
"R1","S2D1","ELC_02",2021,2230.995276
"R1","S2D1","ELC_02",2022,2277.068894
"R1","S2D1","ELC_02",2023,2323.15457
"R1","S2D1","ELC_02",2024,2369.228188
"R1","S2D1","ELC_02",2025,2415.313864
"R1","S2D1","ELC_02",2026,2461.39954
"R1","S2D1","ELC_02",2027,2507.473158
"R1","S2D1","ELC_02",2028,2553.558834
"R1","S2D1","ELC_02",2029,2599.632452
"R1","S2D1","ELC_02",2030,2645.718128
"R1","S2D1","ELC_02",2031,2691.803804
"R1","S2D1","ELC_02",2032,2737.877422
"R1","S2D1","ELC_02",2033,2783.963098
"R1","S2D1","ELC_02",2034,2830.036716
"R1","S2D1","ELC_02",2035,2876.122392
"R1","S2D1","ELC_02",2036,2922.208068
"R1","S2D1","ELC_02",2037,2968.281686
"R1","S2D1","ELC_02",2038,3014.367362
"R1","S2D1","ELC_02",2039,3060.44098
"R1","S2D1","ELC_02",2040,3106.526656
"R1","S2D1","ELC_02",2041,3152.612332
"R1","S2D1","ELC_02",2042,3198.68595
"R1","S2D1","ELC_02",2043,3244.771626
"R1","S2D1","ELC_02",2044,3290.845244
"R1","S2D1","ELC_02",2045,3336.93092
"R1","S2D1","ELC_02",2046,3383.016596
"R1","S2D1","ELC_02",2047,3429.090214
"R1","S2D1","ELC_02",2048,3475.17589
"R1","S2D1","ELC_02",2049,3521.249508
"R1","S2D1","ELC_02",2050,3567.335184
"R1","S2D1","ELC_02",2051,3613.42086
"R1","S2D1","ELC_02",2052,3659.494478
"R1","S2D1","ELC_02",2053,3705.580154
"R1","S2D1","ELC_02",2054,3751.653772
"R1","S2D1","ELC_02",2055,3797.739448
"R1","S2D1","ELC_02",2056,3843.825124
"R1","S2D1","ELC_02",2057,3889.898742
"R1","S2D1","ELC_02",2058,3935.984418
"R1","S2D1","ELC_02",2059,3982.058036
"R1","S2D1","ELC_02",2060,4028.143712
"R1","S2D1","ELC_02",2061,4074.229388
"R1","S2D1","ELC_02",2062,4120.303006
"R1","S2D1","ELC_02",2063,4166.388682
"R1","S2D1","ELC_02",2064,4212.4623
"R1","S2D1","ELC_02",2065,4258.547976
"R1","S2D1","ELC_02",2066,4304.633652
"R1","S2D1","ELC_02",2067,4350.70727
"R1","S2D1","ELC_02",2068,4396.792946
"R1","S2D1","ELC_02",2069,4442.866564
"R1","S2D1","ELC_02",2070,4488.95224
"R1","S2D2","ELC_02",2020,2135.0796
"R1","S2D2","ELC_02",2021,2180.114226
"R1","S2D2","ELC_02",2022,2225.137069
"R1","S2D2","ELC_02",2023,2270.171695
"R1","S2D2","ELC_02",2024,2315.194538
"R1","S2D2","ELC_02",2025,2360.229164
"R1","S2D2","ELC_02",2026,2405.26379
"R1","S2D2","ELC_02",2027,2450.286633
"R1","S2D2","ELC_02",2028,2495.321259
"R1","S2D2","ELC_02",2029,2540.344102
"R1","S2D2","ELC_02",2030,2585.378728
"R1","S2D2","ELC_02",2031,2630.413354
"R1","S2D2","ELC_02",2032,2675.436197
"R1","S2D2","ELC_02",2033,2720.470823
"R1","S2D2","ELC_02",2034,2765.493666
"R1","S2D2","ELC_02",2035,2810.528292
"R1","S2D2","ELC_02",2036,2855.562918
"R1","S2D2","ELC_02",2037,2900.585761
"R1","S2D2","ELC_02",2038,2945.620387
"R1","S2D2","ELC_02",2039,2990.64323
"R1","S2D2","ELC_02",2040,3035.677856
"R1","S2D2","ELC_02",2041,3080.712482
"R1","S2D2","ELC_02",2042,3125.735325
"R1","S2D2","ELC_02",2043,3170.769951
"R1","S2D2","ELC_02",2044,3215.792794
"R1","S2D2","ELC_02",2045,3260.82742
"R1","S2D2","ELC_02",2046,3305.862046
"R1","S2D2","ELC_02",2047,3350.884889
"R1","S2D2","ELC_02",2048,3395.919515
"R1","S2D2","ELC_02",2049,3440.942358
"R1","S2D2","ELC_02",2050,3485.976984
"R1","S2D2","ELC_02",2051,3531.01161
"R1","S2D2","ELC_02",2052,3576.034453
"R1","S2D2","ELC_02",2053,3621.069079
"R1","S2D2","ELC_02",2054,3666.091922
"R1","S2D2","ELC_02",2055,3711.126548
"R1","S2D2","ELC_02",2056,3756.161174
"R1","S2D2","ELC_02",2057,3801.184017
"R1","S2D2","ELC_02",2058,3846.218643
"R1","S2D2","ELC_02",2059,3891.241486
"R1","S2D2","ELC_02",2060,3936.276112
"R1","S2D2","ELC_02",2061,3981.310738
"R1","S2D2","ELC_02",2062,4026.333581
"R1","S2D2","ELC_02",2063,4071.368207
"R1","S2D2","ELC_02",2064,4116.39105
"R1","S2D2","ELC_02",2065,4161.425676
"R1","S2D2","ELC_02",2066,4206.460302
"R1","S2D2","ELC_02",2067,4251.483145
"R1","S2D2","ELC_02",2068,4296.517771
"R1","S2D2","ELC_02",2069,4341.540614
"R1","S2D2","ELC_02",2070,4386.57524
"R1","S3D1","ELC_02",2020,2548.9404
"R1","S3D1","ELC_02",2021,2602.704474
"R1","S3D1","ELC_02",2022,2656.454481
"R1","S3D1","ELC_02",2023,2710.218555
"R1","S3D1","ELC_02",2024,2763.968562
"R1","S3D1","ELC_02",2025,2817.732636
"R1","S3D1","ELC_02",2026,2871.49671
"R1","S3D1","ELC_02",2027,2925.246717
