REGION,TECHNOLOGY,YEAR,VALUE
"R1","HYDRO",2020,1165430.84408631
"R1","HYDRO",2021,26705.2939624685
"R1","HYDRO",2022,28719.866255557
"R1","HYDRO",2023,30653.1812585397
"R1","HYDRO",2024,32478.7751684383
"R1","HYDRO",2025,34234.0314137053
"R1","HYDRO",2026,35897.6087215646
"R1","HYDRO",2027,37472.1611633599
"R1","HYDRO",2028,38990.8817203042
"R1","HYDRO",2029,40417.3646539746
"R1","HYDRO",2030,41796.5715150793
"R1","HYDRO",2031,43100.0278657303
"R1","HYDRO",2032,44329.813240272
"R1","HYDRO",2033,45523.6882002737
"R1","HYDRO",2034,46637.4572407434
"R1","HYDRO",2035,47722.0195694728
"R1","HYDRO",2036,48743.3117270575
"R1","HYDRO",2037,49702.9630830708
"R1","HYDRO",2038,50642.3130178051
"R1","HYDRO",2039,51511.062540331
"R1","HYDRO",2040,52364.7631681392
"R1","HYDRO",2041,53164.9722972172
"R1","HYDRO",2042,53912.9665812586
"R1","HYDRO",2043,54652.8894986734
"R1","HYDRO",2044,55329.6598175988
"R1","HYDRO",2045,56002.4742619021
"R1","HYDRO",2046,56629.4590531757
"R1","HYDRO",2047,57211.6144830119
"R1","HYDRO",2048,57795.2811140581
"R1","HYDRO",2049,58321.6307035467
"R1","HYDRO",2050,58852.716089913
"R1","HYDRO",2051,59343.9750798571
"R1","HYDRO",2052,59796.1914279985
"R1","HYDRO",2053,60257.4271700043
"R1","HYDRO",2054,60665.9181819958
"R1","HYDRO",2055,61085.9551429203
"R1","HYDRO",2056,61470.8694160622
"R1","HYDRO",2057,61821.2750936522
"R1","HYDRO",2058,62186.5830305038
"R1","HYDRO",2059,62502.728763083
"R1","HYDRO",2060,62835.7563769358
"R1","HYDRO",2061,63137.3467817873
"R1","HYDRO",2062,63407.9811349765
"R1","HYDRO",2063,63698.1271264042
"R1","HYDRO",2064,63941.9179162147
"R1","HYDRO",2065,64206.7714299062
"R1","HYDRO",2066,64443.0754036595
"R1","HYDRO",2067,64651.2068368491
"R1","HYDRO",2068,64882.4614773029
"R1","HYDRO",2069,65069.5602761956
"R1","HYDRO",2070,65280.9975985323
