,mu,mu_star,sigma,mu_star_conf
Capital_BIO,0.0,0.0,0.0,0.0
Capital_CCG,-0.9089347950208146,2.9399694095468387,4.4883736049846625,2.0805577457335414
Capital_COA,-3.229685728219528,3.229685728219528,5.819185472013988,3.29573578516439
Capital_HYD,9.785260920497377,12.841408574115235,14.229865711635494,7.1043653753885145
Capital_OCG,0.0,0.0,0.0,0.0
Capital_OIL,0.0,0.0,0.0,0.0
Capital_SPV,0.9226737679501451,1.235713425525373,1.434452901792178,0.6864745238680379
Capital_URN,11.23084245794106,11.23084245794106,12.062135593127929,6.340220556855518
Capital_WON,9.506635478828684e-11,9.506635478828684e-11,3.0062620998064076e-10,2.1002954618412077e-10
Fixed_BIO,0.0,0.0,0.0,0.0
Fixed_CCG,-4.878951563343063,4.878951563343063,2.810616780707855,1.481290246998163
Fixed_COA,-5.607080102626973,5.607080102817106,7.837110858031608,4.675699343686563
Fixed_HYD,12.024599108899281,12.840595338877302,11.555835102473383,5.952722536312958
Fixed_OCG,-2.852011959930678e-10,2.852011959930678e-10,9.018853707421818e-10,5.756464145583424e-10
Fixed_OIL,1.6161386895419127e-09,1.6161386895419127e-09,5.110679273672192e-09,3.5444585723782998e-09
Fixed_SPV,0.30906989423581166,0.8316393179289931,1.150400939701206,0.4729078998531628
Fixed_URN,10.292981339914217,10.292981339914217,13.130351596107246,7.675539718328595
Fixed_WON,0.0,0.0,0.0,0.0
Variable_COA,,28.520513688724257,,25.036670094275458
Variable_GAS,,36.61601997316119,,13.465802712229936
Variable_OIL,,0.0,,0.0
Variable_URN,,7.391915147750694,,5.478081983549222
Efficiency_BIO,0.0,0.0,0.0,0.0
Efficiency_CCG,,18.972829129048158,,10.335899097864242
Efficiency_COA,,4.956364390210755,,6.3434874590949635
Efficiency_OCG,,0.0,,0.0
Efficiency_OIL,,0.0,,0.0
Efficiency_URN,,3.3667642725997515,,2.6246685799066194
OpLife_BIO,0.0,0.0,0.0,0.0
OpLife_CCG,-0.5274158957371562,4.936940294284297,7.113586287153012,2.751614429922311
OpLife_COA,5.826684302814135,5.826684302814135,12.052166695891668,6.331223318609015
OpLife_HYD,-1.5359191749033463,1.5568974207274202,2.089057865218881,1.2596627706815307
OpLife_OCG,0.0,0.0,0.0,0.0
OpLife_OIL,0.0,0.0,0.0,0.0
OpLife_SPV,-1.052410645817941,1.1640289694273143,1.160911467994118,0.641530458976929
OpLife_URN,-1.4226487737052593,1.4226487737052593,2.3455755239937437,1.3649513546230114
OpLife_WON,0.0,0.0,0.0,0.0
Demand,22.211448387467293,22.211448387467293,7.274313127034243,4.409898416657459
CarbonTax,-39.236231939224766,39.236231939224766,13.153282357613021,8.513808178200017
MaxCoalCapacity,4.71519225010819,4.71519225010819,14.910747115916202,9.135985155977993
