,mu,mu_star,sigma,mu_star_conf
Capital_BIO,0.0,0.0,0.0,0.0
Capital_CCG,-1.5750000000000004,1.5750000000000004,2.3887758371182524,1.4317074989117176
Capital_COA,0.17999999999999988,0.17999999999999988,0.569209978830308,0.36677091410051177
Capital_HYD,-36.510000000000005,36.540000000000006,30.435193444432056,19.912714751902204
Capital_OCG,0.0,0.0,0.0,0.0
Capital_OIL,0.0,0.0,0.0,0.0
Capital_SPV,-0.25499999999999856,1.1549999999999998,2.1817997158309477,1.1001132076241515
Capital_URN,6.449999999999998,6.449999999999998,8.092589202474073,4.530635580488785
Capital_WON,0.0,0.0,0.0,0.0
Fixed_BIO,0.0,0.0,0.0,0.0
Fixed_CCG,-1.4849999999999994,2.5349999999999993,4.08194193981247,1.8720006508896156
Fixed_COA,1.0049999999999994,1.0049999999999994,3.1780890484692192,1.9380722267253514
Fixed_HYD,-27.704999999999995,27.704999999999995,25.138222888661005,14.208530574041708
Fixed_OCG,0.0,0.0,0.0,0.0
Fixed_OIL,0.0,0.0,0.0,0.0
Fixed_SPV,-0.9450000000000003,1.215000000000001,2.1989201895475885,1.244415636631239
Fixed_URN,16.455000000000002,16.455000000000002,22.37555027256313,12.27719925226662
Fixed_WON,0.0,0.0,0.0,0.0
Variable_COA,,3.825,,3.0401748502442167
Variable_GAS,,17.654999999999998,,13.101174685263121
Variable_OIL,,0.0,,0.0
Variable_URN,,10.29,,7.95170081193185
Efficiency_BIO,0.0,0.0,0.0,0.0
Efficiency_CCG,,10.89,,7.337152798985994
Efficiency_COA,,2.01,,2.531227914258786
Efficiency_OCG,,0.0,,0.0
Efficiency_OIL,,0.0,,0.0
Efficiency_URN,,2.5350000000000006,,2.1383900721794453
OpLife_BIO,0.0,0.0,0.0,0.0
OpLife_CCG,-0.3150000000000002,1.8450000000000006,3.3848559792109336,1.564257781307876
OpLife_COA,0.0,0.45,1.0606601717798212,0.5623749270638776
OpLife_HYD,0.615,0.615,1.2215768498133872,0.6752971285676056
OpLife_OCG,0.0,0.0,0.0,0.0
OpLife_OIL,0.0,0.0,0.0,0.0
OpLife_SPV,1.8599999999999994,1.9499999999999993,2.2262075374950996,1.3019296900355273
OpLife_URN,-0.6600000000000004,0.6600000000000004,1.4768209099278096,0.8346696064931622
OpLife_WON,0.0,0.0,0.0,0.0
Demand,-0.29999999999999893,0.8099999999999998,1.6170961628796234,0.8047102303706781
CarbonTax,2.64,16.02,24.475416237522907,10.419597287684187
MaxCoalCapacity,0.0,0.0,0.0,0.0
