REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIONPLXX01,2020.0,71.25
GLOBAL,PWRBIONPLXX01,2021.0,71.25
GLOBAL,PWRBIONPLXX01,2022.0,71.25
GLOBAL,PWRBIONPLXX01,2023.0,71.25
GLOBAL,PWRBIONPLXX01,2024.0,71.25
GLOBAL,PWRBIONPLXX01,2025.0,71.25
GLOBAL,PWRBIONPLXX01,2026.0,71.25
GLOBAL,PWRBIONPLXX01,2027.0,71.25
GLOBAL,PWRBIONPLXX01,2028.0,71.25
GLOBAL,PWRBIONPLXX01,2029.0,71.25
GLOBAL,PWRBIONPLXX01,2030.0,71.25
GLOBAL,PWRBIONPLXX01,2031.0,71.25
GLOBAL,PWRBIONPLXX01,2032.0,71.25
GLOBAL,PWRBIONPLXX01,2033.0,71.25
GLOBAL,PWRBIONPLXX01,2034.0,71.25
GLOBAL,PWRBIONPLXX01,2035.0,71.25
GLOBAL,PWRBIONPLXX01,2036.0,71.25
GLOBAL,PWRBIONPLXX01,2037.0,71.25
GLOBAL,PWRBIONPLXX01,2038.0,71.25
GLOBAL,PWRBIONPLXX01,2039.0,71.25
GLOBAL,PWRBIONPLXX01,2040.0,71.25
GLOBAL,PWRBIONPLXX01,2041.0,71.25
GLOBAL,PWRBIONPLXX01,2042.0,71.25
GLOBAL,PWRBIONPLXX01,2043.0,71.25
GLOBAL,PWRBIONPLXX01,2044.0,71.25
GLOBAL,PWRBIONPLXX01,2045.0,71.25
GLOBAL,PWRBIONPLXX01,2046.0,71.25
GLOBAL,PWRBIONPLXX01,2047.0,71.25
GLOBAL,PWRBIONPLXX01,2048.0,71.25
GLOBAL,PWRBIONPLXX01,2049.0,71.25
GLOBAL,PWRBIONPLXX01,2050.0,71.25
GLOBAL,PWRBIONPLXX01,2051.0,71.25
GLOBAL,PWRBIONPLXX01,2052.0,71.25
GLOBAL,PWRBIONPLXX01,2053.0,71.25
GLOBAL,PWRBIONPLXX01,2054.0,71.25
GLOBAL,PWRBIONPLXX01,2055.0,71.25
GLOBAL,PWRBIONPLXX01,2056.0,71.25
GLOBAL,PWRBIONPLXX01,2057.0,71.25
GLOBAL,PWRBIONPLXX01,2058.0,71.25
GLOBAL,PWRBIONPLXX01,2059.0,71.25
GLOBAL,PWRBIONPLXX01,2060.0,71.25
GLOBAL,PWRBIONPLXX01,2061.0,71.25
GLOBAL,PWRBIONPLXX01,2062.0,71.25
GLOBAL,PWRBIONPLXX01,2063.0,71.25
GLOBAL,PWRBIONPLXX01,2064.0,71.25
GLOBAL,PWRBIONPLXX01,2065.0,71.25
GLOBAL,PWRBIONPLXX01,2066.0,71.25
GLOBAL,PWRBIONPLXX01,2067.0,71.25
GLOBAL,PWRBIONPLXX01,2068.0,71.25
GLOBAL,PWRBIONPLXX01,2069.0,71.25
GLOBAL,PWRBIONPLXX01,2070.0,71.25
GLOBAL,PWRCCGNPLXX00,2020.0,26.25
GLOBAL,PWRCCGNPLXX00,2021.0,26.25
GLOBAL,PWRCCGNPLXX00,2022.0,26.25
GLOBAL,PWRCCGNPLXX00,2023.0,26.25
GLOBAL,PWRCCGNPLXX00,2024.0,26.25
GLOBAL,PWRCCGNPLXX00,2025.0,26.25
GLOBAL,PWRCCGNPLXX00,2026.0,26.25
GLOBAL,PWRCCGNPLXX00,2027.0,26.25
GLOBAL,PWRCCGNPLXX00,2028.0,26.25
GLOBAL,PWRCCGNPLXX00,2029.0,26.25
GLOBAL,PWRCCGNPLXX00,2030.0,26.25
GLOBAL,PWRCCGNPLXX00,2031.0,26.25
GLOBAL,PWRCCGNPLXX00,2032.0,26.25
GLOBAL,PWRCCGNPLXX00,2033.0,26.25
GLOBAL,PWRCCGNPLXX00,2034.0,26.25
GLOBAL,PWRCCGNPLXX00,2035.0,26.25
GLOBAL,PWRCCGNPLXX00,2036.0,26.25
GLOBAL,PWRCCGNPLXX00,2037.0,26.25
GLOBAL,PWRCCGNPLXX00,2038.0,26.25
GLOBAL,PWRCCGNPLXX00,2039.0,26.25
GLOBAL,PWRCCGNPLXX00,2040.0,26.25
GLOBAL,PWRCCGNPLXX00,2041.0,26.25
GLOBAL,PWRCCGNPLXX00,2042.0,26.25
GLOBAL,PWRCCGNPLXX00,2043.0,26.25
GLOBAL,PWRCCGNPLXX00,2044.0,26.25
GLOBAL,PWRCCGNPLXX00,2045.0,26.25
GLOBAL,PWRCCGNPLXX00,2046.0,26.25
GLOBAL,PWRCCGNPLXX00,2047.0,26.25
GLOBAL,PWRCCGNPLXX00,2048.0,26.25
GLOBAL,PWRCCGNPLXX00,2049.0,26.25
GLOBAL,PWRCCGNPLXX00,2050.0,26.25
GLOBAL,PWRCCGNPLXX00,2051.0,26.25
GLOBAL,PWRCCGNPLXX00,2052.0,26.25
