REGION,TECHNOLOGY,YEAR,VALUE
"GLOBAL","PWRCCGNPLXX01",2020,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2021,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2022,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2023,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2024,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2025,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2026,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2027,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2028,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2029,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2030,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2031,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2032,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2033,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2034,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2035,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2036,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2037,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2038,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2039,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2040,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2041,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2042,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2043,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2044,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2045,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2046,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2047,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2048,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2049,12.8484216958119
"GLOBAL","PWRCCGNPLXX01",2050,2.03142656918024
"GLOBAL","PWRCCGNPLXX01",2051,2.12378150607152
"GLOBAL","PWRCCGNPLXX01",2052,2.2161364429628
"GLOBAL","PWRCCGNPLXX01",2053,2.30849137985439
"GLOBAL","PWRCCGNPLXX01",2054,2.40085395759409
"GLOBAL","PWRCCGNPLXX01",2055,2.49320889448535
"GLOBAL","PWRCCGNPLXX01",2056,2.59558862472535
"GLOBAL","PWRCCGNPLXX01",2057,2.69797599581352
"GLOBAL","PWRCCGNPLXX01",2058,2.8003557260532
"GLOBAL","PWRCCGNPLXX01",2059,2.90274309714159
"GLOBAL","PWRCCGNPLXX01",2060,3.00512282738077
"GLOBAL","PWRCCGNPLXX01",2061,3.1174815058779
"GLOBAL","PWRCCGNPLXX01",2062,3.22984018437437
"GLOBAL","PWRCCGNPLXX01",2063,3.34219886287103
"GLOBAL","PWRCCGNPLXX01",2064,3.45456518221587
"GLOBAL","PWRCCGNPLXX01",2065,3.56692386071231
"GLOBAL","PWRCCGNPLXX01",2066,3.68988803704971
"GLOBAL","PWRCCGNPLXX01",2067,3.8128522133874
"GLOBAL","PWRCCGNPLXX01",2068,3.93581638972516
"GLOBAL","PWRCCGNPLXX01",2069,4.05878820691166
"GLOBAL","PWRCCGNPLXX01",2070,4.18175238324862
"GLOBAL","PWRCOANPLXX01",2020,31.550447431571
"GLOBAL","PWRCOANPLXX01",2021,40.0467111062518
"GLOBAL","PWRCOANPLXX01",2022,48.5429747809325
"GLOBAL","PWRCOANPLXX01",2023,57.0392384556133
"GLOBAL","PWRCOANPLXX01",2024,65.535502130294
"GLOBAL","PWRCOANPLXX01",2025,74.0317658049748
"GLOBAL","PWRCOANPLXX01",2026,84.0214250645766
"GLOBAL","PWRCOANPLXX01",2027,94.3893531356482
"GLOBAL","PWRCOANPLXX01",2028,106.263402405618
"GLOBAL","PWRCOANPLXX01",2029,118.137639961287
"GLOBAL","PWRCOANPLXX01",2030,130.011689231257
"GLOBAL","PWRCOANPLXX01",2031,143.445685510641
"GLOBAL","PWRCOANPLXX01",2032,156.877987218742
"GLOBAL","PWRCOANPLXX01",2033,170.310288926843
"GLOBAL","PWRCOANPLXX01",2034,178.456775220473
"GLOBAL","PWRCOANPLXX01",2035,191.094204085917
