REGION,TECHNOLOGY,YEAR,VALUE
"GLOBAL","MINCOANPL",2020,103.2274829963
"GLOBAL","MINCOANPL",2021,170.14043839027
"GLOBAL","MINCOANPL",2022,200.037227206328
"GLOBAL","MINCOANPL",2023,227.848785335161
"GLOBAL","MINCOANPL",2024,253.650552454908
"GLOBAL","MINCOANPL",2025,277.515556137398
"GLOBAL","MINCOANPL",2026,305.40745655962
"GLOBAL","MINCOANPL",2027,332.15618830931
"GLOBAL","MINCOANPL",2028,359.936875627851
"GLOBAL","MINCOANPL",2029,384.223767743929
"GLOBAL","MINCOANPL",2030,406.005142947485
"GLOBAL","MINCOANPL",2031,445.657588001045
"GLOBAL","MINCOANPL",2032,484.876252570924
"GLOBAL","MINCOANPL",2033,522.562388728596
"GLOBAL","MINCOANPL",2034,547.474605146196
"GLOBAL","MINCOANPL",2035,583.239708677379
"GLOBAL","MINCOANPL",2036,623.150836966103
"GLOBAL","MINCOANPL",2037,663.061965254826
"GLOBAL","MINCOANPL",2038,702.973093543549
"GLOBAL","MINCOANPL",2039,742.879208501248
"GLOBAL","MINCOANPL",2040,782.790336789971
"GLOBAL","MINCOANPL",2041,826.270956768378
"GLOBAL","MINCOANPL",2042,869.751576746785
"GLOBAL","MINCOANPL",2043,908.237372564392
"GLOBAL","MINCOANPL",2044,945.409019444557
"GLOBAL","MINCOANPL",2045,982.580666324722
"GLOBAL","MINCOANPL",2046,1023.73820408446
"GLOBAL","MINCOANPL",2047,1064.90002774837
"GLOBAL","MINCOANPL",2048,1106.05756550811
"GLOBAL","MINCOANPL",2049,1147.21938917202
"GLOBAL","MINCOANPL",2050,1147.17443978055
"GLOBAL","MINCOANPL",2051,1199.32998476899
"GLOBAL","MINCOANPL",2052,1251.48552975744
"GLOBAL","MINCOANPL",2053,1303.64107474588
"GLOBAL","MINCOANPL",2054,1355.80093474591
"GLOBAL","MINCOANPL",2055,1407.95647973435
"GLOBAL","MINCOANPL",2056,1465.77331991803
"GLOBAL","MINCOANPL",2057,1523.5944751133
"GLOBAL","MINCOANPL",2058,1581.41131529698
"GLOBAL","MINCOANPL",2059,1639.23247049225
"GLOBAL","MINCOANPL",2060,1697.04931067593
"GLOBAL","MINCOANPL",2061,1760.50155598536
"GLOBAL","MINCOANPL",2062,1823.95380129479
"GLOBAL","MINCOANPL",2063,1887.40604660422
"GLOBAL","MINCOANPL",2064,1950.86260692523
"GLOBAL","MINCOANPL",2065,2014.31485223466
"GLOBAL","MINCOANPL",2066,2083.75633361954
"GLOBAL","MINCOANPL",2067,2153.19781500442
"GLOBAL","MINCOANPL",2068,2222.6392963893
"GLOBAL","MINCOANPL",2069,2292.08509278576
"GLOBAL","MINCOANPL",2070,2361.52657417064
"GLOBAL","MINGASNPL",2020,91.6335742892435
"GLOBAL","MINGASNPL",2021,86.1527394145022
"GLOBAL","MINGASNPL",2022,88.5668095778628
"GLOBAL","MINGASNPL",2023,90.9743424010985
"GLOBAL","MINGASNPL",2024,93.3803545951306
"GLOBAL","MINGASNPL",2025,95.7881836580526
"GLOBAL","MINGASNPL",2026,97.6221623995562
"GLOBAL","MINGASNPL",2027,94.9231093140645
"GLOBAL","MINGASNPL",2028,90.3045530068373
"GLOBAL","MINGASNPL",2029,86.9158038849935
"GLOBAL","MINGASNPL",2030,82.9982810843571
"GLOBAL","MINGASNPL",2031,74.8291427447208
"GLOBAL","MINGASNPL",2032,67.6128805269569
"GLOBAL","MINGASNPL",2033,63.7986774821608
"GLOBAL","MINGASNPL",2034,68.9253502455032
"GLOBAL","MINGASNPL",2035,66.4552640516446
"GLOBAL","MINGASNPL",2036,63.6988362146229
"GLOBAL","MINGASNPL",2037,60.9424083776023
"GLOBAL","MINGASNPL",2038,58.1859805405812
"GLOBAL","MINGASNPL",2039,55.4298989449669
"GLOBAL","MINGASNPL",2040,52.6734711079454
"GLOBAL","MINGASNPL",2041,49.6705193895075
"GLOBAL","MINGASNPL",2042,46.6675676710694
"GLOBAL","MINGASNPL",2043,46.1309441572703
"GLOBAL","MINGASNPL",2044,46.2432168778878
"GLOBAL","MINGASNPL",2045,46.3554895985046
"GLOBAL","MINGASNPL",2046,46.4798012480016
"GLOBAL","MINGASNPL",2047,46.6041258425822
"GLOBAL","MINGASNPL",2048,46.7284374920795
"GLOBAL","MINGASNPL",2049,46.8527620866616
"GLOBAL","MINGASNPL",2050,10.3248960892827
"GLOBAL","MINGASNPL",2051,10.7942978098279
"GLOBAL","MINGASNPL",2052,11.2636995303734
"GLOBAL","MINGASNPL",2053,11.7331012509203
"GLOBAL","MINGASNPL",2054,12.2025418067193
"GLOBAL","MINGASNPL",2055,12.6719435272648
"GLOBAL","MINGASNPL",2056,13.1922971016511
"GLOBAL","MINGASNPL",2057,13.7126895112899
"GLOBAL","MINGASNPL",2058,14.2330430856751
"GLOBAL","MINGASNPL",2059,14.7534354953149
"GLOBAL","MINGASNPL",2060,15.2737890696973
"GLOBAL","MINGASNPL",2061,15.8448614863981
"GLOBAL","MINGASNPL",2062,16.4159339030956
"GLOBAL","MINGASNPL",2063,16.987006319794
"GLOBAL","MINGASNPL",2064,17.558117571745
"GLOBAL","MINGASNPL",2065,18.1291899884418
"GLOBAL","MINGASNPL",2066,18.7541657383164
"GLOBAL","MINGASNPL",2067,19.3791414881921
"GLOBAL","MINGASNPL",2068,20.0041172380674
"GLOBAL","MINGASNPL",2069,20.6291318231998
"GLOBAL","MINGASNPL",2070,21.2541075730715
"GLOBAL","PWRCCGNPLXX01",2020,0.0154357267275857
"GLOBAL","PWRCCGNPLXX01",2021,0.0111481576575641
"GLOBAL","PWRCCGNPLXX01",2022,0.0109801823415475
"GLOBAL","PWRCCGNPLXX01",2023,0.010812207025531
"GLOBAL","PWRCCGNPLXX01",2024,0.0106442317095144
"GLOBAL","PWRCCGNPLXX01",2025,0.0104762563934979
"GLOBAL","PWRCCGNPLXX01",2026,0.0102188774347602
"GLOBAL","PWRCCGNPLXX01",2027,0.00952765854460694
"GLOBAL","PWRCCGNPLXX01",2028,0.00870601687579052
"GLOBAL","PWRCCGNPLXX01",2029,0.0080608659899794
"GLOBAL","PWRCCGNPLXX01",2030,0.00741572533410385
"GLOBAL","PWRCCGNPLXX01",2031,0.0066858296621505
"GLOBAL","PWRCCGNPLXX01",2032,0.00604107150756392
"GLOBAL","PWRCCGNPLXX01",2033,0.00570028032756391
"GLOBAL","PWRCCGNPLXX01",2034,0.0061583379715787
"GLOBAL","PWRCCGNPLXX01",2035,0.00593764086163977
"GLOBAL","PWRCCGNPLXX01",2036,0.0056913597161079
"GLOBAL","PWRCCGNPLXX01",2037,0.00544507857057615
"GLOBAL","PWRCCGNPLXX01",2038,0.00519879742504433
"GLOBAL","PWRCCGNPLXX01",2039,0.00495254721546853
"GLOBAL","PWRCCGNPLXX01",2040,0.00470626606993669
"GLOBAL","PWRCCGNPLXX01",2041,0.00443795852374935
"GLOBAL","PWRCCGNPLXX01",2042,0.004169650977562
"GLOBAL","PWRCCGNPLXX01",2043,0.004121704772723
"GLOBAL","PWRCCGNPLXX01",2044,0.00413173610888725
"GLOBAL","PWRCCGNPLXX01",2045,0.00414176744505143
"GLOBAL","PWRCCGNPLXX01",2046,0.00415287443469573
"GLOBAL","PWRCCGNPLXX01",2047,0.00416398258095658
"GLOBAL","PWRCCGNPLXX01",2048,0.00417508957060091
"GLOBAL","PWRCCGNPLXX01",2049,0.00418619771686189
"GLOBAL","PWRCCGNPLXX01",2050,0.000922508183313618
"GLOBAL","PWRCCGNPLXX01",2051,0.000964448259486781
"GLOBAL","PWRCCGNPLXX01",2052,0.00100638833565996
"GLOBAL","PWRCCGNPLXX01",2053,0.00104832841183327
"GLOBAL","PWRCCGNPLXX01",2054,0.0010902719578563
"GLOBAL","PWRCCGNPLXX01",2055,0.00113221203402948
"GLOBAL","PWRCCGNPLXX01",2056,0.00117870455331848
"GLOBAL","PWRCCGNPLXX01",2057,0.00122520054245724
"GLOBAL","PWRCCGNPLXX01",2058,0.00127169306174613
"GLOBAL","PWRCCGNPLXX01",2059,0.00131818905088499
"GLOBAL","PWRCCGNPLXX01",2060,0.00136468157017363
"GLOBAL","PWRCCGNPLXX01",2061,0.00141570571347886
"GLOBAL","PWRCCGNPLXX01",2062,0.00146672985678379
"GLOBAL","PWRCCGNPLXX01",2063,0.00151775400008881
"GLOBAL","PWRCCGNPLXX01",2064,0.00156878161324359
"GLOBAL","PWRCCGNPLXX01",2065,0.00161980575654847
"GLOBAL","PWRCCGNPLXX01",2066,0.00167564605156416
"GLOBAL","PWRCCGNPLXX01",2067,0.00173148634657994
"GLOBAL","PWRCCGNPLXX01",2068,0.0017873266415957
"GLOBAL","PWRCCGNPLXX01",2069,0.00184317040646163
"GLOBAL","PWRCCGNPLXX01",2070,0.00189901070147705
"GLOBAL","PWRCOANPLXX01",2020,0.0157799044500354
"GLOBAL","PWRCOANPLXX01",2021,0.0252582616289351
"GLOBAL","PWRCOANPLXX01",2022,0.0306170250538298
"GLOBAL","PWRCOANPLXX01",2023,0.0359757884787244
"GLOBAL","PWRCOANPLXX01",2024,0.0413345519036191
"GLOBAL","PWRCOANPLXX01",2025,0.0466933153285137
"GLOBAL","PWRCOANPLXX01",2026,0.0529939932167297
"GLOBAL","PWRCOANPLXX01",2027,0.0594972091930028
"GLOBAL","PWRCOANPLXX01",2028,0.0666252571682192
"GLOBAL","PWRCOANPLXX01",2029,0.0735769143605303
"GLOBAL","PWRCOANPLXX01",2030,0.0805284613228059
"GLOBAL","PWRCOANPLXX01",2031,0.0883932641296593
"GLOBAL","PWRCOANPLXX01",2032,0.0961720294182459
"GLOBAL","PWRCOANPLXX01",2033,0.103646827732246
"GLOBAL","PWRCOANPLXX01",2034,0.108588002717582
"GLOBAL","PWRCOANPLXX01",2035,0.115681776790266
"GLOBAL","PWRCOANPLXX01",2036,0.123597887722791
"GLOBAL","PWRCOANPLXX01",2037,0.131513998655316
"GLOBAL","PWRCOANPLXX01",2038,0.139430109587841
"GLOBAL","PWRCOANPLXX01",2039,0.147345226158988
"GLOBAL","PWRCOANPLXX01",2040,0.155261337091513
"GLOBAL","PWRCOANPLXX01",2041,0.163885433325377
"GLOBAL","PWRCOANPLXX01",2042,0.172509529559241
"GLOBAL","PWRCOANPLXX01",2043,0.180142935130107
"GLOBAL","PWRCOANPLXX01",2044,0.187515687865117
"GLOBAL","PWRCOANPLXX01",2045,0.194888440600127
"GLOBAL","PWRCOANPLXX01",2046,0.203051768688943
"GLOBAL","PWRCOANPLXX01",2047,0.211215946858786
"GLOBAL","PWRCOANPLXX01",2048,0.219379274947602
"GLOBAL","PWRCOANPLXX01",2049,0.227543453117443
"GLOBAL","PWRCOANPLXX01",2050,0.227534537700002
"GLOBAL","PWRCOANPLXX01",2051,0.237879248500661
"GLOBAL","PWRCOANPLXX01",2052,0.248223959301319
"GLOBAL","PWRCOANPLXX01",2053,0.258568670101978
"GLOBAL","PWRCOANPLXX01",2054,0.268914236756927
"GLOBAL","PWRCOANPLXX01",2055,0.279258947557585
"GLOBAL","PWRCOANPLXX01",2056,0.290726539186445
"GLOBAL","PWRCOANPLXX01",2057,0.302194986669594
"GLOBAL","PWRCOANPLXX01",2058,0.313662578298454
"GLOBAL","PWRCOANPLXX01",2059,0.325131025781603
"GLOBAL","PWRCOANPLXX01",2060,0.336598617410463
"GLOBAL","PWRCOANPLXX01",2061,0.349183954741784
"GLOBAL","PWRCOANPLXX01",2062,0.361769292073106
"GLOBAL","PWRCOANPLXX01",2063,0.374354629404428
"GLOBAL","PWRCOANPLXX01",2064,0.386940822590039
"GLOBAL","PWRCOANPLXX01",2065,0.399526159921362
"GLOBAL","PWRCOANPLXX01",2066,0.413299423006908
"GLOBAL","PWRCOANPLXX01",2067,0.427072686092454
"GLOBAL","PWRCOANPLXX01",2068,0.440845949178001
"GLOBAL","PWRCOANPLXX01",2069,0.454620068117837
"GLOBAL","PWRCOANPLXX01",2070,0.468393331203384
"GLOBAL","PWRHYDNPLXX01",2020,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2021,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2022,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2023,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2024,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2025,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2026,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2027,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2028,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2029,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2030,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2031,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2032,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2033,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2034,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2035,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2036,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2037,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2038,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2039,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2040,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2041,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2042,0.00812552074825723
"GLOBAL","PWRHYDNPLXX01",2043,0.00889585006990682
"GLOBAL","PWRHYDNPLXX01",2044,0.00986885468640873
"GLOBAL","PWRHYDNPLXX01",2045,0.0108418593029108
"GLOBAL","PWRHYDNPLXX01",2046,0.0119191985548731
"GLOBAL","PWRHYDNPLXX01",2047,0.0129966499946155
"GLOBAL","PWRHYDNPLXX01",2048,0.0140739892465779
"GLOBAL","PWRHYDNPLXX01",2049,0.0151514406863202
"GLOBAL","PWRHYDNPLXX01",2050,0.0276767833931553
"GLOBAL","PWRHYDNPLXX01",2051,0.0289350555957591
"GLOBAL","PWRHYDNPLXX01",2052,0.030193327798363
"GLOBAL","PWRHYDNPLXX01",2053,0.0314516000009665
"GLOBAL","PWRHYDNPLXX01",2054,0.0327099763048531
"GLOBAL","PWRHYDNPLXX01",2055,0.0339682485074573
"GLOBAL","PWRHYDNPLXX01",2056,0.0353631015928122
"GLOBAL","PWRHYDNPLXX01",2057,0.03675805877945
"GLOBAL","PWRHYDNPLXX01",2058,0.0381529118648052
"GLOBAL","PWRHYDNPLXX01",2059,0.0395478690514431
"GLOBAL","PWRHYDNPLXX01",2060,0.0409427221367988
"GLOBAL","PWRHYDNPLXX01",2061,0.0424735314972094
"GLOBAL","PWRHYDNPLXX01",2062,0.0440043408576205
"GLOBAL","PWRHYDNPLXX01",2063,0.0455351502180317
"GLOBAL","PWRHYDNPLXX01",2064,0.0470660636797254
"GLOBAL","PWRHYDNPLXX01",2065,0.0485968730401367
"GLOBAL","PWRHYDNPLXX01",2066,0.0502721749807759
"GLOBAL","PWRHYDNPLXX01",2067,0.0519474769214149
"GLOBAL","PWRHYDNPLXX01",2068,0.0536227788620536
"GLOBAL","PWRHYDNPLXX01",2069,0.0552981849039752
"GLOBAL","PWRHYDNPLXX01",2070,0.0569734868446142
"GLOBAL","PWRSPVNPLXX01",2020,0.00130848153002162
"GLOBAL","PWRSPVNPLXX01",2021,0.00148109878454354
"GLOBAL","PWRSPVNPLXX01",2022,0.00165371603906546
"GLOBAL","PWRSPVNPLXX01",2023,0.00182633329358739
"GLOBAL","PWRSPVNPLXX01",2024,0.00199895054810931
"GLOBAL","PWRSPVNPLXX01",2025,0.00217156780263124
"GLOBAL","PWRSPVNPLXX01",2026,0.00243477517965283
"GLOBAL","PWRSPVNPLXX01",2027,0.002929184399933
