REGION,TECHNOLOGY,YEAR,VALUE
"GLOBAL","MINCOANPL",2020,5.81065347557983
"GLOBAL","MINCOANPL",2021,7.37541239564906
"GLOBAL","MINCOANPL",2022,8.9401713157183
"GLOBAL","MINCOANPL",2023,10.5049302357875
"GLOBAL","MINCOANPL",2024,12.0696891558568
"GLOBAL","MINCOANPL",2025,13.634448075926
"GLOBAL","MINCOANPL",2026,15.4742460192851
"GLOBAL","MINCOANPL",2027,17.3837098204371
"GLOBAL","MINCOANPL",2028,19.5705563242593
"GLOBAL","MINCOANPL",2029,21.7574375047038
"GLOBAL","MINCOANPL",2030,23.944284008526
"GLOBAL","MINCOANPL",2031,26.4184263274593
"GLOBAL","MINCOANPL",2032,28.8922565567927
"GLOBAL","MINCOANPL",2033,31.366086786126
"GLOBAL","MINCOANPL",2034,32.8664271219806
"GLOBAL","MINCOANPL",2035,35.1938654291123
"GLOBAL","MINCOANPL",2036,37.7911091020975
"GLOBAL","MINCOANPL",2037,40.3883527750825
"GLOBAL","MINCOANPL",2038,42.9855964480676
"GLOBAL","MINCOANPL",2039,45.5825138751447
"GLOBAL","MINCOANPL",2040,48.1797575481298
"GLOBAL","MINCOANPL",2041,51.009288307557
"GLOBAL","MINCOANPL",2042,53.8388190669842
"GLOBAL","MINCOANPL",2043,56.2668675141663
"GLOBAL","MINCOANPL",2044,58.5892851048752
"GLOBAL","MINCOANPL",2045,60.9117026955841
"GLOBAL","MINCOANPL",2046,63.483151574124
"GLOBAL","MINCOANPL",2047,66.0548682282423
"GLOBAL","MINCOANPL",2048,68.6263171067822
"GLOBAL","MINCOANPL",2049,71.1980337609004
"GLOBAL","MINCOANPL",2050,71.5979144224985
"GLOBAL","MINCOANPL",2051,74.8530608593295
"GLOBAL","MINCOANPL",2052,78.1082072961606
"GLOBAL","MINCOANPL",2053,81.3633537329917
"GLOBAL","MINCOANPL",2054,84.6187694795304
"GLOBAL","MINCOANPL",2055,87.8739159163613
"GLOBAL","MINCOANPL",2056,91.4823966896797
"GLOBAL","MINCOANPL",2057,95.0911467727058
"GLOBAL","MINCOANPL",2058,98.6996275460242
"GLOBAL","MINCOANPL",2059,102.30837762905
"GLOBAL","MINCOANPL",2060,105.916858402369
"GLOBAL","MINCOANPL",2061,109.877057653928
"GLOBAL","MINCOANPL",2062,113.837256905488
"GLOBAL","MINCOANPL",2063,117.797456157047
"GLOBAL","MINCOANPL",2064,121.757924718315
"GLOBAL","MINCOANPL",2065,125.718123969874
"GLOBAL","MINCOANPL",2066,130.052125095705
"GLOBAL","MINCOANPL",2067,134.386126221537
"GLOBAL","MINCOANPL",2068,138.720127347368
"GLOBAL","MINCOANPL",2069,143.054397782907
"GLOBAL","MINCOANPL",2070,147.388398908738
"GLOBAL","MINGASNPL",2020,3.08714534551715
