REGION,TECHNOLOGY,YEAR,VALUE
"GLOBAL","PWRCCGNPLXX01",2020,15.1541092005013
"GLOBAL","PWRCCGNPLXX01",2021,10.4235855223677
"GLOBAL","PWRCCGNPLXX01",2022,9.77764545359913
"GLOBAL","PWRCCGNPLXX01",2023,9.16958723826801
"GLOBAL","PWRCCGNPLXX01",2024,8.59726779751809
"GLOBAL","PWRCCGNPLXX01",2025,8.05866225534693
"GLOBAL","PWRCCGNPLXX01",2026,7.48636033825154
"GLOBAL","PWRCCGNPLXX01",2027,6.64759300339433
"GLOBAL","PWRCCGNPLXX01",2028,5.78506766828798
"GLOBAL","PWRCCGNPLXX01",2029,5.10130559373822
"GLOBAL","PWRCCGNPLXX01",2030,4.46955181520165
"GLOBAL","PWRCCGNPLXX01",2031,3.83774707270569
"GLOBAL","PWRCCGNPLXX01",2032,3.30252199562392
"GLOBAL","PWRCCGNPLXX01",2033,2.9678275166963
"GLOBAL","PWRCCGNPLXX01",2034,3.05363175792107
"GLOBAL","PWRCCGNPLXX01",2035,2.80399846067172
"GLOBAL","PWRCCGNPLXX01",2036,2.5597089187064
"GLOBAL","PWRCCGNPLXX01",2037,2.33232677425104
"GLOBAL","PWRCCGNPLXX01",2038,2.12079574351088
"GLOBAL","PWRCCGNPLXX01",2039,1.92413382142941
"GLOBAL","PWRCCGNPLXX01",2040,1.74138109885439
"GLOBAL","PWRCCGNPLXX01",2041,1.56390831892823
"GLOBAL","PWRCCGNPLXX01",2042,1.39938899854412
"GLOBAL","PWRCCGNPLXX01",2043,1.31742631405883
"GLOBAL","PWRCCGNPLXX01",2044,1.25774537542445
"GLOBAL","PWRCCGNPLXX01",2045,1.20076097445124
"GLOBAL","PWRCCGNPLXX01",2046,1.14664862724059
"GLOBAL","PWRCCGNPLXX01",2047,1.0949673270518
"GLOBAL","PWRCCGNPLXX01",2048,1.04560765552403
"GLOBAL","PWRCCGNPLXX01",2049,0.998466261854299
"GLOBAL","PWRCCGNPLXX01",2050,0.209553339586152
"GLOBAL","PWRCCGNPLXX01",2051,0.208647888327108
"GLOBAL","PWRCCGNPLXX01",2052,0.207353492880525
"GLOBAL","PWRCCGNPLXX01",2053,0.205709248727458
"GLOBAL","PWRCCGNPLXX01",2054,0.203752058381368
"GLOBAL","PWRCCGNPLXX01",2055,0.201514188661042
"GLOBAL","PWRCCGNPLXX01",2056,0.199799099204571
"GLOBAL","PWRCCGNPLXX01",2057,0.197790963484708
"GLOBAL","PWRCCGNPLXX01",2058,0.195520486120834
"GLOBAL","PWRCCGNPLXX01",2059,0.193018247189381
"GLOBAL","PWRCCGNPLXX01",2060,0.190310475731278
"GLOBAL","PWRCCGNPLXX01",2061,0.188024764804131
"GLOBAL","PWRCCGNPLXX01",2062,0.185525197603043
"GLOBAL","PWRCCGNPLXX01",2063,0.182837324410223
"GLOBAL","PWRCCGNPLXX01",2064,0.17998514517575
"GLOBAL","PWRCCGNPLXX01",2065,0.176989625814869
"GLOBAL","PWRCCGNPLXX01",2066,0.174372446740567
"GLOBAL","PWRCCGNPLXX01",2067,0.17160318579622
"GLOBAL","PWRCCGNPLXX01",2068,0.168702261615866
"GLOBAL","PWRCCGNPLXX01",2069,0.165688804975128
"GLOBAL","PWRCCGNPLXX01",2070,0.162579502330621
"GLOBAL","PWRCOANPLXX01",2020,28.7356720806969
"GLOBAL","PWRCOANPLXX01",2021,43.805752816559
"GLOBAL","PWRCOANPLXX01",2022,50.5709813435013
"GLOBAL","PWRCOANPLXX01",2023,56.5925696188605
"GLOBAL","PWRCOANPLXX01",2024,61.9259998694837
"GLOBAL","PWRCOANPLXX01",2025,66.6231565596872
"GLOBAL","PWRCOANPLXX01",2026,72.0124922126483
"GLOBAL","PWRCOANPLXX01",2027,76.9996039463588
"GLOBAL","PWRCOANPLXX01",2028,82.1185922493177
"GLOBAL","PWRCOANPLXX01",2029,86.3683989288682
"GLOBAL","PWRCOANPLXX01",2030,90.0271289232517
"GLOBAL","PWRCOANPLXX01",2031,94.1139219012188
