REGION,TECHNOLOGY,YEAR,VALUE
"GLOBAL","MINCOANPL",2020,58.1065347557982
"GLOBAL","MINCOANPL",2021,73.7541239564906
"GLOBAL","MINCOANPL",2022,89.4017131571829
"GLOBAL","MINCOANPL",2023,105.049302357875
"GLOBAL","MINCOANPL",2024,120.696891558568
"GLOBAL","MINCOANPL",2025,136.34448075926
"GLOBAL","MINCOANPL",2026,154.742460192851
"GLOBAL","MINCOANPL",2027,173.837098204371
"GLOBAL","MINCOANPL",2028,195.705563242593
"GLOBAL","MINCOANPL",2029,217.574375047037
"GLOBAL","MINCOANPL",2030,239.44284008526
"GLOBAL","MINCOANPL",2031,264.184263274593
"GLOBAL","MINCOANPL",2032,288.922565567926
"GLOBAL","MINCOANPL",2033,313.66086786126
"GLOBAL","MINCOANPL",2034,328.664271219806
"GLOBAL","MINCOANPL",2035,351.938654291123
"GLOBAL","MINCOANPL",2036,377.911091020974
"GLOBAL","MINCOANPL",2037,403.883527750825
"GLOBAL","MINCOANPL",2038,429.855964480675
"GLOBAL","MINCOANPL",2039,455.825138751447
"GLOBAL","MINCOANPL",2040,481.797575481298
"GLOBAL","MINCOANPL",2041,510.09288307557
"GLOBAL","MINCOANPL",2042,538.388190669841
"GLOBAL","MINCOANPL",2043,562.668675141663
"GLOBAL","MINCOANPL",2044,585.892851048752
"GLOBAL","MINCOANPL",2045,609.11702695584
"GLOBAL","MINCOANPL",2046,634.831515741239
"GLOBAL","MINCOANPL",2047,660.548682282423
"GLOBAL","MINCOANPL",2048,686.263171067821
"GLOBAL","MINCOANPL",2049,711.980337609003
"GLOBAL","MINCOANPL",2050,715.979144224984
"GLOBAL","MINCOANPL",2051,748.530608593294
"GLOBAL","MINCOANPL",2052,781.082072961605
"GLOBAL","MINCOANPL",2053,813.633537329916
"GLOBAL","MINCOANPL",2054,846.187694795303
"GLOBAL","MINCOANPL",2055,878.739159163612
"GLOBAL","MINCOANPL",2056,914.823966896796
"GLOBAL","MINCOANPL",2057,950.911467727057
"GLOBAL","MINCOANPL",2058,986.996275460241
"GLOBAL","MINCOANPL",2059,1023.0837762905
"GLOBAL","MINCOANPL",2060,1059.16858402368
"GLOBAL","MINCOANPL",2061,1098.77057653928
"GLOBAL","MINCOANPL",2062,1138.37256905488
"GLOBAL","MINCOANPL",2063,1177.97456157047
"GLOBAL","MINCOANPL",2064,1217.57924718314
"GLOBAL","MINCOANPL",2065,1257.18123969874
"GLOBAL","MINCOANPL",2066,1300.52125095705
"GLOBAL","MINCOANPL",2067,1343.86126221536
"GLOBAL","MINCOANPL",2068,1387.20127347368
"GLOBAL","MINCOANPL",2069,1430.54397782906
"GLOBAL","MINCOANPL",2070,1473.88398908738
"GLOBAL","MINGASNPL",2020,30.8714534551714
"GLOBAL","MINGASNPL",2021,30.8714534551714
"GLOBAL","MINGASNPL",2022,30.8714534551714
"GLOBAL","MINGASNPL",2023,30.8714534551714
"GLOBAL","MINGASNPL",2024,30.8714534551714
"GLOBAL","MINGASNPL",2025,30.8714534551714
"GLOBAL","MINGASNPL",2026,30.8714534551714
"GLOBAL","MINGASNPL",2027,30.8714534551714
"GLOBAL","MINGASNPL",2028,30.8714534551714
"GLOBAL","MINGASNPL",2029,30.8714534551714
"GLOBAL","MINGASNPL",2030,30.8714534551714
"GLOBAL","MINGASNPL",2031,30.8714534551714
"GLOBAL","MINGASNPL",2032,30.8714534551714
"GLOBAL","MINGASNPL",2033,30.8714534551714
"GLOBAL","MINGASNPL",2034,30.8714534551714
"GLOBAL","MINGASNPL",2035,30.8714534551714
"GLOBAL","MINGASNPL",2036,30.8714534551714
"GLOBAL","MINGASNPL",2037,30.8714534551714
"GLOBAL","MINGASNPL",2038,30.8714534551714
"GLOBAL","MINGASNPL",2039,30.8714534551714
