,mu,mu_star,sigma,mu_star_conf
Capital_Hydro,13.244033686499998,14.375700844499997,30.621369567387273,16.845018387807944
Capital_Fossil,-8.926166941499995,9.7444168245,15.22018518677074,8.339363480914187
Fixed_Hydro,1.6328030988000009,3.6922527192000003,7.349054637424482,3.3050645306114665
Fixed_Fossil,-6.9895302359999905,7.73426892299999,11.50611074516528,6.001264811316495
Variable_Fossil,20.646683955000007,61.13913469200001,77.50221768115482,28.359492809556496
Efficiency_Fossil,16.994651571000002,20.523763731000003,24.29426523417088,10.615063350492038
OpLife_Hydro,3.769699635000012,4.470021705000001,8.889936937559963,4.308539944546948
OpLife_Fossil,-61.19623465049999,62.53411195049999,72.57144262995722,44.989899125401415
Demand,35.7402949398,35.7402949398,12.455576727873487,7.196854669202052
EmissionLimit,115.427729187,115.427729187,75.72023780492786,44.08729892995499
