,mu,mu_star,sigma,mu_star_conf
Capital_Hydro,11.983704180000052,23.93472731999999,37.79506801083283,19.50210701952445
Capital_Fossil,-17.365749559499932,21.186511339499997,43.15600578636522,22.929247581114243
Fixed_Hydro,14.042163238500086,14.884504561499956,30.90326328813961,18.610495167519602
Fixed_Fossil,-5.634577697999987,14.489120231999994,34.181482622279304,20.263876264829207
Variable_Fossil,-78.10289720999995,79.91899755000006,65.22436893054919,34.9604613809608
Efficiency_Fossil,-17.347447394999996,17.347447695000028,27.117448095858737,16.280098830474824
OpLife_Hydro,-2.554691430000014,2.554691730000047,4.702901750653316,3.03890240739128
OpLife_Fossil,-55.90846355999997,55.90846355999997,51.97230552282979,27.92915714029839
Demand,633.1676382300001,633.1676382300001,18.78473014838942,12.242419270272084
EmissionLimit,-44.357372739000084,44.357373549000116,58.69798194924785,31.037569703821287
