,mu,mu_star,sigma,mu_star_conf
Capital_Hydro,295017.97057011456,295017.97057011456,105999.00802220195,64365.58428249696
Capital_Fossil,121830.84744634191,121830.84744634191,69089.62562237924,37289.65069949527
Fixed_Hydro,184475.71256847613,184475.71256847613,71994.215035952,39637.52382366204
Fixed_Fossil,133546.9394642836,133546.9394642836,67915.0961638487,39911.9985136649
Variable_Fossil,744469.7643144465,744469.7643144465,194871.12134899682,117322.58996168627
Efficiency_Fossil,230775.0188292375,230775.0188292375,63921.82740394752,37533.12776469388
OpLife_Hydro,-110540.40061403849,110540.40061403849,71158.04896560278,42795.75875813766
OpLife_Fossil,-16564.034733987086,19805.03661376792,18621.889230156918,8632.11309411569
Demand,955280.097556365,955280.097556365,117643.06760782682,68009.14027675324
EmissionLimit,-164505.1775737111,164505.1775737111,169773.23393325455,111636.22517286924
