REGION,TECHNOLOGY,YEAR,VALUE
"R1","HYDRO",2020,16250
"R1","HYDRO",2021,15925
"R1","HYDRO",2022,15600
"R1","HYDRO",2023,15275
"R1","HYDRO",2024,14950
"R1","HYDRO",2025,14625
"R1","HYDRO",2026,14300
"R1","HYDRO",2027,13975
"R1","HYDRO",2028,13650
"R1","HYDRO",2029,13325
"R1","HYDRO",2030,13000
"R1","HYDRO",2031,12675
"R1","HYDRO",2032,12350
"R1","HYDRO",2033,12025
"R1","HYDRO",2034,11700
"R1","HYDRO",2035,11375
"R1","HYDRO",2036,11050
"R1","HYDRO",2037,10725
"R1","HYDRO",2038,10400
"R1","HYDRO",2039,10075
"R1","HYDRO",2040,9750
"R1","HYDRO",2041,9425
"R1","HYDRO",2042,9100
"R1","HYDRO",2043,8775
"R1","HYDRO",2044,8450
"R1","HYDRO",2045,8125
"R1","HYDRO",2046,7800
"R1","HYDRO",2047,7475
"R1","HYDRO",2048,7150
"R1","HYDRO",2049,6825
"R1","HYDRO",2050,6500
"R1","HYDRO",2051,6175
"R1","HYDRO",2052,5850
"R1","HYDRO",2053,5525
"R1","HYDRO",2054,5200
"R1","HYDRO",2055,4875
"R1","HYDRO",2056,4550
"R1","HYDRO",2057,4225
"R1","HYDRO",2058,3900
"R1","HYDRO",2059,3575
"R1","HYDRO",2060,3250
"R1","HYDRO",2061,2925
"R1","HYDRO",2062,2600
"R1","HYDRO",2063,2275
"R1","HYDRO",2064,1950
"R1","HYDRO",2065,1625
"R1","HYDRO",2066,1300
"R1","HYDRO",2067,975
"R1","HYDRO",2068,650
"R1","HYDRO",2069,325
"R1","FOSSIL",2020,16250
"R1","FOSSIL",2021,17087.4869863014
"R1","FOSSIL",2022,18094.2476027397
"R1","FOSSIL",2023,19101.1866438356
"R1","FOSSIL",2024,20107.947260274
"R1","FOSSIL",2025,21114.8863013699
"R1","FOSSIL",2026,22121.8253424658
"R1","FOSSIL",2027,23128.5859589041
"R1","FOSSIL",2028,24135.525
"R1","FOSSIL",2029,25142.2856164384
"R1","FOSSIL",2030,26149.2246575342
"R1","FOSSIL",2031,27156.1636986301
"R1","FOSSIL",2032,28162.9243150685
"R1","FOSSIL",2033,29169.8633561644
"R1","FOSSIL",2034,30176.6239726027
"R1","FOSSIL",2035,31183.5630136986
"R1","FOSSIL",2036,32190.5020547945
"R1","FOSSIL",2037,33197.2626712328
"R1","FOSSIL",2038,34204.2017123287
"R1","FOSSIL",2039,35210.9623287671
"R1","FOSSIL",2040,36217.901369863
"R1","FOSSIL",2041,37224.8404109589
"R1","FOSSIL",2042,38231.6010273972
"R1","FOSSIL",2043,39238.5400684931
"R1","FOSSIL",2044,40245.3006849315
"R1","FOSSIL",2045,41252.2397260274
"R1","FOSSIL",2046,42259.1787671233
"R1","FOSSIL",2047,43265.9393835616
"R1","FOSSIL",2048,44272.8784246575
"R1","FOSSIL",2049,45279.6390410959
"R1","FOSSIL",2050,46286.5780821918
"R1","FOSSIL",2051,47293.5171232876
"R1","FOSSIL",2052,48300.277739726
"R1","FOSSIL",2053,49307.2167808219
"R1","FOSSIL",2054,50313.9773972602
"R1","FOSSIL",2055,51320.9164383561
"R1","FOSSIL",2056,52327.855479452
"R1","FOSSIL",2057,53334.6160958904
"R1","FOSSIL",2058,54341.5551369863
"R1","FOSSIL",2059,55348.3157534246
"R1","FOSSIL",2060,56355.2547945205
"R1","FOSSIL",2061,57362.1938356164
"R1","FOSSIL",2062,58368.9544520548
"R1","FOSSIL",2063,59375.8934931506
"R1","FOSSIL",2064,60382.654109589
"R1","FOSSIL",2065,61389.5931506849
"R1","FOSSIL",2066,62396.5321917808
"R1","FOSSIL",2067,63403.2928082192
"R1","FOSSIL",2068,64410.231849315
"R1","FOSSIL",2069,65416.9924657534
"R1","FOSSIL",2070,66423.9315068493
