REGION,TECHNOLOGY,YEAR,VALUE
"R1","TRANSMISSION",2020,18.12
"R1","TRANSMISSION",2021,18.5022
"R1","TRANSMISSION",2022,18.8843
"R1","TRANSMISSION",2023,19.2665
"R1","TRANSMISSION",2024,19.6486
"R1","TRANSMISSION",2025,20.0308
"R1","TRANSMISSION",2026,20.413
"R1","TRANSMISSION",2027,20.7951
"R1","TRANSMISSION",2028,21.1773
"R1","TRANSMISSION",2029,21.5594
"R1","TRANSMISSION",2030,21.9416
"R1","TRANSMISSION",2031,22.3238
"R1","TRANSMISSION",2032,22.7059
"R1","TRANSMISSION",2033,23.0881
"R1","TRANSMISSION",2034,23.4702
"R1","TRANSMISSION",2035,23.8524
"R1","TRANSMISSION",2036,24.2346
"R1","TRANSMISSION",2037,24.6167
"R1","TRANSMISSION",2038,24.9989
"R1","TRANSMISSION",2039,25.381
"R1","TRANSMISSION",2040,25.7632
"R1","TRANSMISSION",2041,26.1454
"R1","TRANSMISSION",2042,26.5275
"R1","TRANSMISSION",2043,26.9097
"R1","TRANSMISSION",2044,27.2918
"R1","TRANSMISSION",2045,27.674
"R1","TRANSMISSION",2046,28.0562
"R1","TRANSMISSION",2047,28.4383
"R1","TRANSMISSION",2048,28.8205
"R1","TRANSMISSION",2049,29.2026
"R1","TRANSMISSION",2050,29.5848
"R1","TRANSMISSION",2051,29.967
"R1","TRANSMISSION",2052,30.3491
"R1","TRANSMISSION",2053,30.7313
"R1","TRANSMISSION",2054,31.1134
"R1","TRANSMISSION",2055,31.4956
"R1","TRANSMISSION",2056,31.8778
"R1","TRANSMISSION",2057,32.2599
"R1","TRANSMISSION",2058,32.6421
"R1","TRANSMISSION",2059,33.0242
"R1","TRANSMISSION",2060,33.4064
"R1","TRANSMISSION",2061,33.7886
"R1","TRANSMISSION",2062,34.1707
"R1","TRANSMISSION",2063,34.5529
"R1","TRANSMISSION",2064,34.935
"R1","TRANSMISSION",2065,35.3172
"R1","TRANSMISSION",2066,35.6994
"R1","TRANSMISSION",2067,36.0815
"R1","TRANSMISSION",2068,36.4637
"R1","TRANSMISSION",2069,36.8458
"R1","TRANSMISSION",2070,37.228
"R1","MINE_WATER",2020,11.27412
"R1","MINE_WATER",2021,11.0486376
"R1","MINE_WATER",2022,10.8231552
"R1","MINE_WATER",2023,10.5976728
"R1","MINE_WATER",2024,10.3721904
"R1","MINE_WATER",2025,10.146708
"R1","MINE_WATER",2026,9.9212256
"R1","MINE_WATER",2027,9.6957432
"R1","MINE_WATER",2028,9.4702608
"R1","MINE_WATER",2029,9.2447784
"R1","MINE_WATER",2030,9.019296
"R1","MINE_WATER",2031,8.7938136
"R1","MINE_WATER",2032,8.5683312
"R1","MINE_WATER",2033,8.3428488
"R1","MINE_WATER",2034,8.1173664
"R1","MINE_WATER",2035,7.891884
"R1","MINE_WATER",2036,7.6664016
"R1","MINE_WATER",2037,7.4409192
"R1","MINE_WATER",2038,7.2154368
"R1","MINE_WATER",2039,6.9899544
"R1","MINE_WATER",2040,6.764472
"R1","MINE_WATER",2041,6.5389896
"R1","MINE_WATER",2042,6.3135072
"R1","MINE_WATER",2043,6.0880248
"R1","MINE_WATER",2044,5.8625424
"R1","MINE_WATER",2045,5.63706
"R1","MINE_WATER",2046,5.4115776
"R1","MINE_WATER",2047,5.1860952
"R1","MINE_WATER",2048,4.9606128
"R1","MINE_WATER",2049,4.7351304
"R1","MINE_WATER",2050,4.509648
"R1","MINE_WATER",2051,4.2841656
"R1","MINE_WATER",2052,4.0586832
"R1","MINE_WATER",2053,3.8332008
"R1","MINE_WATER",2054,3.6077184
"R1","MINE_WATER",2055,3.382236
"R1","MINE_WATER",2056,3.1567536
"R1","MINE_WATER",2057,2.93127120000001
"R1","MINE_WATER",2058,2.70578880000001
"R1","MINE_WATER",2059,2.4803064
"R1","MINE_WATER",2060,2.25482400000001
"R1","MINE_WATER",2061,2.0293416
"R1","MINE_WATER",2062,1.8038592
"R1","MINE_WATER",2063,1.57837680000001
"R1","MINE_WATER",2064,1.3528944
"R1","MINE_WATER",2065,1.127412
"R1","MINE_WATER",2066,0.9019296
"R1","MINE_WATER",2067,0.6764472
"R1","MINE_WATER",2068,0.4509648
"R1","MINE_WATER",2069,0.2254824
"R1","HYDRO",2020,10.2492
"R1","HYDRO",2021,10.044216
"R1","HYDRO",2022,9.839232
"R1","HYDRO",2023,9.634248
"R1","HYDRO",2024,9.429264
"R1","HYDRO",2025,9.22428
"R1","HYDRO",2026,9.019296
"R1","HYDRO",2027,8.814312
"R1","HYDRO",2028,8.609328
"R1","HYDRO",2029,8.404344
"R1","HYDRO",2030,8.19936
"R1","HYDRO",2031,7.994376
"R1","HYDRO",2032,7.789392
"R1","HYDRO",2033,7.584408
"R1","HYDRO",2034,7.379424
"R1","HYDRO",2035,7.17444
"R1","HYDRO",2036,6.969456
