REGION,TECHNOLOGY,YEAR,VALUE
"R1","FOSSIL",2042,1918.59681319719
"R1","FOSSIL",2043,3746.26350874189
"R1","FOSSIL",2044,5486.05574023046
"R1","FOSSIL",2045,7144.23494524251
"R1","FOSSIL",2046,8722.85117590477
"R1","FOSSIL",2047,10225.116956281
"R1","FOSSIL",2048,11658.14666149
"R1","FOSSIL",2049,13020.3143734131
"R1","FOSSIL",2050,14320.5461949007
"R1","FOSSIL",2051,23976.0171487049
"R1","FOSSIL",2052,27613.4373390014
"R1","FOSSIL",2053,29468.6753815216
"R1","FOSSIL",2054,31227.5348005027
"R1","FOSSIL",2055,32911.1536653396
"R1","FOSSIL",2056,34510.4467124098
"R1","FOSSIL",2057,36028.5512834233
"R1","FOSSIL",2058,37484.1888861
"R1","FOSSIL",2059,38860.2912126775
"R1","FOSSIL",2060,40181.4606989701
"R1","FOSSIL",2061,41434.5486492011
"R1","FOSSIL",2062,42622.0132526922
"R1","FOSSIL",2063,43764.553454618
"R1","FOSSIL",2064,44840.7555838969
"R1","FOSSIL",2065,45877.9364980795
"R1","FOSSIL",2066,46859.7636959723
"R1","FOSSIL",2067,47788.1632332291
"R1","FOSSIL",2068,48685.383429013
"R1","FOSSIL",2069,49526.6059063789
"R1","FOSSIL",2070,50341.2743433368
