REGION,TECHNOLOGY,YEAR,VALUE
"R1","HYDRO",2020,16250
"R1","HYDRO",2021,15925
"R1","HYDRO",2022,15600
"R1","HYDRO",2023,15275
"R1","HYDRO",2024,14950
"R1","HYDRO",2025,14625
"R1","HYDRO",2026,14300
"R1","HYDRO",2027,13975
"R1","HYDRO",2028,13650
"R1","HYDRO",2029,13325
"R1","HYDRO",2030,13000
"R1","HYDRO",2031,12675
"R1","HYDRO",2032,12350
"R1","HYDRO",2033,12025
"R1","HYDRO",2034,12597.8214707008
"R1","HYDRO",2035,13821.4105117967
"R1","HYDRO",2036,15044.9995528926
"R1","HYDRO",2037,16268.410169331
"R1","HYDRO",2038,17491.9992104269
"R1","HYDRO",2039,18715.4098268652
"R1","HYDRO",2040,19938.9988679611
"R1","HYDRO",2041,21162.587909057
"R1","HYDRO",2042,22385.9985254954
"R1","HYDRO",2043,23609.5875665912
"R1","HYDRO",2044,24832.9981830296
"R1","HYDRO",2045,26056.5872241255
"R1","HYDRO",2046,27280.1762652214
"R1","HYDRO",2047,28503.5868816597
"R1","HYDRO",2048,29727.1759227556
"R1","HYDRO",2049,30950.586539194
"R1","HYDRO",2050,32174.1755802899
"R1","HYDRO",2051,34235.7516076871
"R1","HYDRO",2052,36465.9228405638
"R1","HYDRO",2053,38696.4509227556
"R1","HYDRO",2054,40926.6221556323
"R1","HYDRO",2055,43157.1502378241
"R1","HYDRO",2056,45387.6783200159
"R1","HYDRO",2057,47617.8495528926
"R1","HYDRO",2058,48785.1172374429
"R1","HYDRO",2059,49992.8750634196
"R1","HYDRO",2060,50571.4591577879
"R1","HYDRO",2061,51150.0432521563
"R1","HYDRO",2062,51728.4759639777
"R1","HYDRO",2063,52307.060058346
"R1","HYDRO",2064,53235.7369863014
"R1","HYDRO",2065,53917.6760273973
"R1","HYDRO",2066,54599.6150684931
"R1","HYDRO",2067,55184.0090055809
"R1","HYDRO",2068,55768.5558853374
"R1","HYDRO",2069,56352.9498224252
"R1","HYDRO",2070,57034.8888635211
"R1","FOSSIL",2020,16250
"R1","FOSSIL",2021,17087.4869863014
"R1","FOSSIL",2022,18094.2476027397
"R1","FOSSIL",2023,19101.1866438356
"R1","FOSSIL",2024,20107.947260274
"R1","FOSSIL",2025,21114.8863013699
"R1","FOSSIL",2026,22121.8253424658
"R1","FOSSIL",2027,23128.5859589041
"R1","FOSSIL",2028,24135.525
"R1","FOSSIL",2029,25142.2856164384
"R1","FOSSIL",2030,26149.2246575342
"R1","FOSSIL",2031,27156.1636986301
"R1","FOSSIL",2032,28162.9243150685
"R1","FOSSIL",2033,29169.8633561644
"R1","FOSSIL",2034,29278.8025019019
"R1","FOSSIL",2035,28737.1525019019
"R1","FOSSIL",2036,28195.5025019019
"R1","FOSSIL",2037,27653.8525019019
"R1","FOSSIL",2038,27112.2025019019
"R1","FOSSIL",2039,26570.5525019019
"R1","FOSSIL",2040,26028.9025019019
"R1","FOSSIL",2041,25487.2525019019
"R1","FOSSIL",2042,24945.6025019019
"R1","FOSSIL",2043,24403.9525019019
"R1","FOSSIL",2044,23862.3025019019
"R1","FOSSIL",2045,23320.6525019019
"R1","FOSSIL",2046,22779.0025019019
"R1","FOSSIL",2047,22237.3525019019
"R1","FOSSIL",2048,21695.7025019019
"R1","FOSSIL",2049,21154.0525019019
"R1","FOSSIL",2050,20612.4025019019
"R1","FOSSIL",2051,19232.7655156005
"R1","FOSSIL",2052,17684.3548991622
"R1","FOSSIL",2053,16135.7658580663
"R1","FOSSIL",2054,14587.3552416279
"R1","FOSSIL",2055,13038.7662005321
"R1","FOSSIL",2056,11490.1771594362
"R1","FOSSIL",2057,9941.76654299782
"R1","FOSSIL",2058,9456.43789954337
"R1","FOSSIL",2059,8930.44069000508
"R1","FOSSIL",2060,9033.79563673261
"R1","FOSSIL",2061,9137.15058346016
"R1","FOSSIL",2062,9240.47848807711
"R1","FOSSIL",2063,9343.83343480466
"R1","FOSSIL",2064,9096.91712328766
"R1","FOSSIL",2065,9096.91712328766
"R1","FOSSIL",2066,9096.91712328766
"R1","FOSSIL",2067,9194.28380263825
"R1","FOSSIL",2068,9291.67596397768
"R1","FOSSIL",2069,9389.04264332824
"R1","FOSSIL",2070,9389.04264332824
