REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
"R1","FOSSIL","CO2",2020,508.45368
"R1","FOSSIL","CO2",2021,546.3857664
"R1","FOSSIL","CO2",2022,584.3113928
"R1","FOSSIL","CO2",2023,622.2434792
"R1","FOSSIL","CO2",2024,660.1691056
"R1","FOSSIL","CO2",2025,698.101192
"R1","FOSSIL","CO2",2026,736.0332784
"R1","FOSSIL","CO2",2027,773.9589048
"R1","FOSSIL","CO2",2028,811.8909912
"R1","FOSSIL","CO2",2029,849.8166176
"R1","FOSSIL","CO2",2030,887.748704
"R1","FOSSIL","CO2",2031,925.6807904
"R1","FOSSIL","CO2",2032,963.6064168
"R1","FOSSIL","CO2",2033,1001.5385032
"R1","FOSSIL","CO2",2034,1002.88283191317
"R1","FOSSIL","CO2",2035,977.718413545173
"R1","FOSSIL","CO2",2036,952.553995177173
"R1","FOSSIL","CO2",2037,927.390386634772
"R1","FOSSIL","CO2",2038,902.225968266773
"R1","FOSSIL","CO2",2039,877.062359724373
"R1","FOSSIL","CO2",2040,851.897941356373
"R1","FOSSIL","CO2",2041,826.733522988373
"R1","FOSSIL","CO2",2042,801.569914445972
"R1","FOSSIL","CO2",2043,776.405496077973
"R1","FOSSIL","CO2",2044,751.241887535573
"R1","FOSSIL","CO2",2045,726.077469167573
"R1","FOSSIL","CO2",2046,700.913050799573
"R1","FOSSIL","CO2",2047,675.749442257173
"R1","FOSSIL","CO2",2048,650.585023889173
"R1","FOSSIL","CO2",2049,625.421415346772
"R1","FOSSIL","CO2",2050,600.256996978772
"R1","FOSSIL","CO2",2051,540.949207791572
"R1","FOSSIL","CO2",2052,474.765629231573
"R1","FOSSIL","CO2",2053,408.573971020372
"R1","FOSSIL","CO2",2054,342.390392460373
"R1","FOSSIL","CO2",2055,276.198734249173
"R1","FOSSIL","CO2",2056,210.007076037972
"R1","FOSSIL","CO2",2057,145.435061969227
"R1","FOSSIL","CO2",2058,125.6562209394
"R1","FOSSIL","CO2",2059,107.6708467604
"R1","FOSSIL","CO2",2060,108.9169571168
"R1","FOSSIL","CO2",2061,110.1630674732
"R1","FOSSIL","CO2",2062,111.4088517934
"R1","FOSSIL","CO2",2063,112.6549621498
"R1","FOSSIL","CO2",2064,104.981665428
"R1","FOSSIL","CO2",2065,103.5958089924
"R1","FOSSIL","CO2",2066,102.2099525568
"R1","FOSSIL","CO2",2067,103.303932368
"R1","FOSSIL","CO2",2068,104.3981984864
"R1","FOSSIL","CO2",2069,105.4921782976
"R1","FOSSIL","CO2",2070,104.6023463728
