REGION,TECHNOLOGY,YEAR,VALUE
"R1","HYDRO",2034,5100.80462033667
"R1","HYDRO",2035,9000.26276404362
"R1","HYDRO",2036,9192.87610815679
"R1","HYDRO",2037,9375.23707181249
"R1","HYDRO",2038,9551.02336931982
"R1","HYDRO",2039,9716.29040162946
"R1","HYDRO",2040,9875.87349282364
"R1","HYDRO",2041,10026.7910879474
"R1","HYDRO",2042,10169.3503081341
"R1","HYDRO",2043,10307.4088385175
"R1","HYDRO",2044,10436.574516207
"R1","HYDRO",2045,10561.9374104634
"R1","HYDRO",2046,10680.1852952232
"R1","HYDRO",2047,10791.558807931
"R1","HYDRO",2048,10900.0566455706
"R1","HYDRO",2049,11000.9359672699
"R1","HYDRO",2050,11099.486441804
"R1","HYDRO",2051,17248.5304769387
"R1","HYDRO",2052,18612.614001445
"R1","HYDRO",2053,18753.8930545953
"R1","HYDRO",2054,18883.3317172761
"R1","HYDRO",2055,19011.7554580639
"R1","HYDRO",2056,19131.5521611855
"R1","HYDRO",2057,19242.9568324725
"R1","HYDRO",2058,11301.6960067415
"R1","HYDRO",2059,11670.4165749844
"R1","HYDRO",2060,6914.73622115734
"R1","HYDRO",2061,6947.92461923824
"R1","HYDRO",2062,6978.36329688961
"R1","HYDRO",2063,7009.63547281262
"R1","HYDRO",2064,9765.289659841
"R1","HYDRO",2065,7873.79684077843
"R1","HYDRO",2066,7902.77524041703
"R1","HYDRO",2067,7162.13542436629
"R1","HYDRO",2068,7187.08198084083
"R1","HYDRO",2069,7208.4811019552
"R1","HYDRO",2070,6838.05790958874
"R1","FOSSIL",2058,1295.24774773796
"R1","FOSSIL",2059,1291.3926926786
"R1","FOSSIL",2060,2157.17872201365
"R1","FOSSIL",2061,2224.45190263048
"R1","FOSSIL",2062,2288.23695494501
"R1","FOSSIL",2063,2349.54035638506
"R1","FOSSIL",2064,588.339739633967
"R1","FOSSIL",2067,151.236436360375
"R1","FOSSIL",2068,154.094695261085
"R1","FOSSIL",2069,156.738130857791
