REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"R1","S1D1","TRANSMISSION",1,2020,17300.976
"R1","S1D1","TRANSMISSION",1,2021,17665.90056
"R1","S1D1","TRANSMISSION",1,2022,18030.72964
"R1","S1D1","TRANSMISSION",1,2023,18395.6542
"R1","S1D1","TRANSMISSION",1,2024,18760.48328
"R1","S1D1","TRANSMISSION",1,2025,19125.40784
"R1","S1D1","TRANSMISSION",1,2026,19490.3324
"R1","S1D1","TRANSMISSION",1,2027,19855.16148
"R1","S1D1","TRANSMISSION",1,2028,20220.08604
"R1","S1D1","TRANSMISSION",1,2029,20584.91512
"R1","S1D1","TRANSMISSION",1,2030,20949.83968
"R1","S1D1","TRANSMISSION",1,2031,21314.76424
"R1","S1D1","TRANSMISSION",1,2032,21679.59332
"R1","S1D1","TRANSMISSION",1,2033,22044.51788
"R1","S1D1","TRANSMISSION",1,2034,22409.34696
"R1","S1D1","TRANSMISSION",1,2035,22774.27152
"R1","S1D1","TRANSMISSION",1,2036,23139.19608
"R1","S1D1","TRANSMISSION",1,2037,23504.02516
"R1","S1D1","TRANSMISSION",1,2038,23868.94972
"R1","S1D1","TRANSMISSION",1,2039,24233.7788
"R1","S1D1","TRANSMISSION",1,2040,24598.70336
"R1","S1D1","TRANSMISSION",1,2041,24963.62792
"R1","S1D1","TRANSMISSION",1,2042,25328.457
"R1","S1D1","TRANSMISSION",1,2043,25693.38156
"R1","S1D1","TRANSMISSION",1,2044,26058.21064
"R1","S1D1","TRANSMISSION",1,2045,26423.1352
"R1","S1D1","TRANSMISSION",1,2046,26788.05976
"R1","S1D1","TRANSMISSION",1,2047,27152.88884
"R1","S1D1","TRANSMISSION",1,2048,27517.8134
"R1","S1D1","TRANSMISSION",1,2049,27882.64248
"R1","S1D1","TRANSMISSION",1,2050,28247.56704
"R1","S1D1","TRANSMISSION",1,2051,28612.4916
"R1","S1D1","TRANSMISSION",1,2052,28977.32068
"R1","S1D1","TRANSMISSION",1,2053,29342.24524
"R1","S1D1","TRANSMISSION",1,2054,29707.07432
"R1","S1D1","TRANSMISSION",1,2055,30071.99888
"R1","S1D1","TRANSMISSION",1,2056,30436.92344
"R1","S1D1","TRANSMISSION",1,2057,30801.75252
"R1","S1D1","TRANSMISSION",1,2058,31166.67708
"R1","S1D1","TRANSMISSION",1,2059,31531.50616
"R1","S1D1","TRANSMISSION",1,2060,31896.43072
"R1","S1D1","TRANSMISSION",1,2061,32261.35528
"R1","S1D1","TRANSMISSION",1,2062,32626.18436
"R1","S1D1","TRANSMISSION",1,2063,32991.10892
"R1","S1D1","TRANSMISSION",1,2064,33355.938
"R1","S1D1","TRANSMISSION",1,2065,33720.86256
"R1","S1D1","TRANSMISSION",1,2066,34085.78712
"R1","S1D1","TRANSMISSION",1,2067,34450.6162
"R1","S1D1","TRANSMISSION",1,2068,34815.54076
"R1","S1D1","TRANSMISSION",1,2069,35180.36984
"R1","S1D1","TRANSMISSION",1,2070,35545.2944
"R1","S1D1","MINE_WATER",1,2020,11274.12
"R1","S1D1","MINE_WATER",1,2021,11048.6376
"R1","S1D1","MINE_WATER",1,2022,10823.1552
"R1","S1D1","MINE_WATER",1,2023,10597.6728
"R1","S1D1","MINE_WATER",1,2024,10372.1904
"R1","S1D1","MINE_WATER",1,2025,10146.708
"R1","S1D1","MINE_WATER",1,2026,9921.2256
"R1","S1D1","MINE_WATER",1,2027,9695.7432
"R1","S1D1","MINE_WATER",1,2028,9470.2608
